stock_name,scientific_name,common_name,region,tsn,fishery_type
MORWONGESE,Nemadactylus macropterus,Jackass morwong,Australia,170262,Other Marine
MORWONGWSE,Nemadactylus macropterus,Jackass morwong,Australia,170262,Other Marine
NPOUTIIIa.IV,Trisopterus esmarkii,Norway pout,European Union,164756,Gadids
NRSOLEGA,Lepidopsetta polyxystra,Northern rock sole,US Alaska,616392,Flatfish
NSHRIMPCSCH,Heterocarpus reedi,Nylon shrimp,South America,97075,Invertebrate
NSHRIMPNCH,Heterocarpus reedi,Nylon shrimp,South America,97075,Invertebrate
NZSNAPNZ1ENLD,Chrysophrys auratus,New Zealand snapper,New Zealand,169231,Other Marine
NZSNAPNZ7,Chrysophrys auratus,New Zealand snapper,New Zealand,169231,Other Marine
OFLOUNECS,Paralichthys olivaceus,Japanese flounder,Japan,172744,Flatfish
PACBTUNA,Thunnus orientalis,Pacific bluefin tuna,Pacific Ocean,172422,Tuna and Marlin
PANCHCCH,Engraulis ringens,Peruvian anchoveta,South America,551340,Forage Fish
PANCHNCHSP,Engraulis ringens,Peruvian anchoveta,South America,551340,Forage Fish
PANDALIIIaW.IVaE,Pandalus borealis,Northern shrimp,European Union,96967,Invertebrate
PATGRENADIERCH,Macruronus magellanicus,Patagonian grenadier,South America,550662,Gadids
PAUAPAU5B,Haliotis iris,Paua,New Zealand,-997,Invertebrate
PAUAPAU5D,Haliotis iris,Paua,New Zealand,-997,Invertebrate
PAUAPAU7,Haliotis iris,Paua,New Zealand,-997,Invertebrate
PCEELARGS,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine
PCEELCSCH,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine
PCEELSCH,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine
PCODBS,Gadus macrocephalus,Pacific cod,US Alaska,164711,Gadids
PERCHQCI,Sebastes alutus,Pacific ocean perch,Canada West Coast,166707,Rockfish
PERCHWCVANI,Sebastes alutus,Pacific ocean perch,Canada West Coast,166707,Rockfish
PILCHPJPN,Sardinops melanostictus,Japanese sardine,Japan,551222,Forage Fish
PILCHTSST,Sardinops melanostictus,Japanese sardine,Japan,551222,Forage Fish
PINKSHRIMPGM,Farfantepenaeus duorarum,Pink shrimp,US Southeast and Gulf,551574,Invertebrate
PLAIC2123,Pleuronectes platessa,European plaice,European Union,172902,Flatfish
PLAICVIIh.k,Pleuronectes platessa,European plaice,European Union,172902,Flatfish
POLL5YZ,Pollachius virens,Pollock,US East Coast,164727,Gadids
POLLIEG,Pollachius virens,Pollock,Europe non EU,164727,Gadids
PSALMAKPSESCD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMAKPSWUD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMAMURPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMANADYRPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMCHIGNIKCD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMCHIGNIKED,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMCHIGNIKWD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMEKAMPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMESAKPH,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMESAKPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMHUMPYCCISD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMJCPH,Oncorhynchus gorbuscha,Pink salmon,Japan,161975,Pacific Salmon
PSALMJCPW,Oncorhynchus gorbuscha,Pink salmon,Japan,161975,Pacific Salmon
PSALMMONTD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMOKPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMPDICK,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPERRYVILLED,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPGRAHAMSD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPGRAHMSD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPRIMPW,Oncorhynchus gorbuscha,Pink salmon,Russia,161975,Pacific Salmon
PSALMPWESD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPWSED,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMPWSSED,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMROCKYROD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMSELDOVIAB,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMTUTKASD,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSALMWINDYC,Oncorhynchus gorbuscha,Pink salmon,US Alaska,161975,Pacific Salmon
PSOLEPCOAST,Eopsetta jordani,Petrale sole,US West Coast,172868,Flatfish
PTOOTFISHCH,Dissostichus eleginoides,Patagonian toothfish,South America,642807,Other Marine
PTOOTFISHPEI,Dissostichus eleginoides,Patagonian toothfish,Southern Africa,642807,Other Marine
PTOOTHFISHCH,Dissostichus eleginoides,Patagonian toothfish,South America,642807,Other Marine
PTOOTHFISHPEI,Dissostichus eleginoides,Patagonian toothfish,Southern Africa,642807,Other Marine
RBRMSETOE,Pagrus major,Red seabream,Japan,647892,Other Marine
RBRMSETOW,Pagrus major,Red seabream,Japan,647892,Other Marine
REDDEEPDP.1.2.V.XII.XIV,Sebastes mentella,Beaked redfish,Russia,166756,Rockfish
REDFEAUS,Centroberyx affinis,Redfish,Australia,622131,Other Marine
REYEROCKGA,Sebastes aleutianus,Rougheye rockfish,US Alaska,166706,Rockfish
RGROUPGM,Epinephelus morio,Red grouper,US Southeast and Gulf,167702,Other Marine
RGROUPSATL,Epinephelus morio,Red grouper,US Southeast and Gulf,167702,Other Marine
RHERRTSST,Etrumeus teres,Round herring,Japan,161743,Forage Fish
RKCRABBB,Paralithodes camtschaticus,Red king crab,US Alaska,97935,Invertebrate
RKCRABNS,Paralithodes camtschaticus,Red king crab,US Alaska,97935,Invertebrate
