stock_name,old_min_year,old_max_year,original_driver,regime_changes,change,note
SBT,1931,2009,spawning biomass,,,
SOLEVIIe,1968,2006,spawning biomass,,,
SOUTHHAKECR,1975,2006,spawning biomass,,,
SSLOBSTERSASC,1973,2008,spawning biomass,,,
STRIPEDBASSGOMCHATT,1982,2006,spawning biomass,,,
WAREHOUESE,1984,2006,spawning biomass,,,
WHAKEGBGOM,1963,2007,spawning biomass,,,
WHITNS.VIId.IIIa,1979,2006,spawning biomass,,redefined,now WHITNS.VIId
WINFLOUNSNEMATL,1940,2007,spawning biomass,,,
YEYEROCKPCOAST,1923,2006,spawning biomass,,,
YTSNAPSATLC,1962,2001,spawning biomass,,deprecated,no information
