stockid,tsn,scientificname,commonname,areaid
PSALMMFRASE,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-MFRASE
PSALMMOIRA,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-MOIRA
PSALMMONTD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-MONTD
PSALMMPNBNS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-MPNBNS
PSALMNCHICHAGO,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-NCHICHAGO
PSALMNISQPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-NISQPS
PSALMNKINGCOME,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-NKINGCOME
PSALMNOME,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-NOME
PSALMNOOKSPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-NOOKSPS
PSALMNUNAKWIKD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-NUNAKWIKD
PSALMNUSHAGAKR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-NUSHAGAKR
PSALMOKPH,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-OKPH
PSALMOKPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-OKPW
PSALMPCHATHAM,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PCHATHAM
PSALMPDICK,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PDICK
PSALMPERRYVILLED,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PERRYVILLED
PSALMPGRAHAMSD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PGRAHAMSD
PSALMPORTAGEB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PORTAGEB
PSALMPORTLAND,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PORTLAND
PSALMPORTLOCK,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PORTLOCK
PSALMPRIMPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-PRIMPW
PSALMPUYALLUPPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-PUYALLUPPS
PSALMPWSED,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PWSED
PSALMPWSNWD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PWSNWD
PSALMPWSSED,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PWSSED
PSALMPWSSWD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PWSSWD
PSALMPYBUSGA,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-PYBUSGA
PSALMQUATR,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-QUATR
PSALMRATZH,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-RATZH
PSALMRESB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-RESB
PSALMROCKYROD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ROCKYROD
PSALMSAGINWB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SAGINWB
PSALMSAKP,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SAKP
PSALMSALISBURY,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SALISBURY
PSALMSASHINCNI,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SASHINCNI
PSALMSBPCKD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SBPCKD
PSALMSEAOTTER,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SEAOTTER
PSALMSEBARAN,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SEBARAN
PSALMSECHELT,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SECHELT
PSALMSELDOVIAB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SELDOVIAB
PSALMSETONA,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SETONA
PSALMSEYMOUR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SEYMOUR
PSALMSHAKTOOLIKNS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SHAKTOOLIKNS
