stockid,tsn,scientificname,commonname,areaid
GGURNIIIa-IV-VIId,167044,Eutrigla gurnardus,Grey gurnard,multinational-ICES-IIIa-IV-VIId
GHAL01ABCDEF,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-01ABCDEF
GHAL23KLMNO,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-23KLMNO
GHAL4RST,172930,Reinhardtius hippoglossoides,Greenland halibut,Canada-DFO-4RST
GHALBSAI,172930,Reinhardtius hippoglossoides,Greenland halibut,USA-NMFS-BSAI
GHALNEAR,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-I-II
GHALV-VI-XII-XIV,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-V-VI-XII-XIV
GHBRMGSA7,647901,Sparus aurata,Gilthead seabream,multinational-GFCM-GSA7
GJOBMHI,168926,Aprion virescens,Green jobfish,USA-NMFS-MHI
GKCRABAI,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AI
GKCRABAIES,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIES
GKCRABAIWS,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIWS
GKCRABPI,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-PI
GLGROUPSATLCGM,167695,Epinephelus itajara,Goliath grouper,USA-NMFS-SATLCGM
GOLDREDNEAR,166781,Sebastes norvegicus,Golden redfish,multinational-ICES-I-II
GOLDREDV-VI-XII-XIV,166781,Sebastes norvegicus,Golden redfish,multinational-ICES-V-VI-XII-XIV
GOPHERSPCOAST,166767,Sebastes carnatus,Gopher rockfish,USA-NMFS-SPCOAST
GPOCTOBSAI,557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-BSAI
GPOCTOGA,557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-GA
GRAMBERGM,168689,Seriola dumerili,Greater amberjack,USA-NMFS-GM
GRAMBERSATLC,168689,Seriola dumerili,Greater amberjack,USA-NMFS-SATLC
GRNSTROCKPCOAST,166717,Sebastes elongatus,Greenstriped rockfish,USA-NMFS-PCOAST
GRSHRIMPMEDGSA10,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA10
GRSHRIMPMEDGSA11,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA11
GRSHRIMPMEDGSA12-16,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA12-16
GRSHRIMPMEDGSA18-19,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA18-19
GRSHRIMPMEDGSA9,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA9
GRSNAPGM,168848,Lutjanus griseus,Gray snapper,USA-NMFS-GM
GRSPROCKNCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-NPCOAST
GRSPROCKSCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-SPCOAST
GSSMELTI-II-IIIa-IV,162064,Argentina silus,Greater silver smelt,multinational-ICES-I-II-IIIa-IV
GSSMELTVa-XIV,162064,Argentina silus,Greater silver smelt,multinational-ICES-Va-XIV
GSSMELTVb-VIa,162064,Argentina silus,Greater silver smelt,multinational-ICES-Vb-VIa
GSSMELTVIb-VII-VIII-IX-X-XII,162064,Argentina silus,Greater silver smelt,multinational-ICES-VIb-VII-VIII-IX-X-XII
GSTRGZRSTA7,171064,Kathetostoma giganteum,Giant stargazer,New Zealand-MFish-STA7
GTPRAWNNAUST,95644,Penaeus semisulcatus,Grooved tiger prawn,Australia-AFMA-NAUST
GTREVMHI,168618,Caranx ignobilis,Giant trevally,USA-NMFS-MHI
GTRIGGM,173138,Balistes capriscus,Gray triggerfish,USA-NMFS-GM
GURCH4RST,157969,Strongylocentrotus droebachiensis,Green sea urchin,Canada-DFO-4RST
HAD3LNO,164744,Melanogrammus aeglefinus,Haddock,multinational-NAFO-3LNO
HAD3Ps,164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-3Ps
HAD4X5Y,164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-4X5Y
HAD5Y,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-5Y
HADFAPL,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Vb1
HADGB,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-GB
HADICE,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Va
HADIS,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIa
HADNEAR,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-I-II
HADNS-IIIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-IIIa-IV
HADNS-IIIa-VIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-NS-IIIa-VIa
HADROCK,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIb
HADVIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIa
HADVIIb-k,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIb-k
HAKEMEDGSA15-16,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA15-16
HAKEMEDGSA1-7,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA1-7
HAKEMEDGSA17-18,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA17-18
HAKEMEDGSA19,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA19
HAKEMEDGSA20,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA20
HAKEMEDGSA22-23,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA22-23
HAKEMEDGSA7,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA7
HAKEMEDGSA9-11,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA9-11
HAKENRTN,164795,Merluccius merluccius,Hake,multinational-ICES-IIIa-IV-VI-VII-VIIIabd
HAKENWAMAR,164795,Merluccius merluccius,Hake,multinational-FAO-NWAMAR
HAKESOTH,164795,Merluccius merluccius,Hake,multinational-ICES-VIIIc-IXa
HAKESPPNWA,-963,Merluccius spp,Hake spp,multinational-FAO-NWA
HAKESPPSAF,-963,Merluccius spp,Hake spp,Namibia-NMFMR-SAF
HERR2224IIIa,161722,Clupea harengus,Herring,multinational-ICES-22-24-IIIa
HERR2529-32,161722,Clupea harengus,Herring,multinational-ICES-2529-32
HERR2532,161722,Clupea harengus,Herring,multinational-ICES-25-32
HERR30,161722,Clupea harengus,Herring,multinational-ICES-30
HERR30-31,161722,Clupea harengus,Herring,multinational-ICES-30-31
HERR31,161722,Clupea harengus,Herring,multinational-ICES-31
HERR4RFA,161722,Clupea harengus,Herring,Canada-DFO-4RFS
HERR4RSP,161722,Clupea harengus,Herring,Canada-DFO-4RSS
HERR4S,161722,Clupea harengus,Herring,Canada-DFO-4S
HERR4SFS,161722,Clupea harengus,Herring,Canada-DFO-4SFS
HERR4SSS,161722,Clupea harengus,Herring,Canada-DFO-4SSS
HERR4TFA,161722,Clupea harengus,Herring,Canada-DFO-4TFS
HERR4TSP,161722,Clupea harengus,Herring,Canada-DFO-4TSS
HERR4VWX,161722,Clupea harengus,Herring,Canada-DFO-4VWX
HERRCC,551209,Clupea pallasii,Pacific herring,Canada-DFO-CC
HERRHOKK,551209,Clupea pallasii,Pacific herring,Japan-FAJ-HOKK
HERRIsum,161722,Clupea harengus,Herring,multinational-ICES-VaSS
HERRNFLDESC,161722,Clupea harengus,Herring,Canada-DFO-NFLDESC
HERRNIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa
HERRNORSS,161722,Clupea harengus,Herring,multinational-ICES-I-II-IVa-V-XIVaNSS
HERRNS-IIIa-VIId,161722,Clupea harengus,Herring,multinational-ICES-IIIa-IV-VIId
HERRNWATLC,161722,Clupea harengus,Herring,USA-NMFS-NWATLC
HERRPRD,551209,Clupea pallasii,Pacific herring,Canada-DFO-PRD
HERRPWS,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-PWS
HERRQCI,551209,Clupea pallasii,Pacific herring,Canada-DFO-QCI
HERRRIGA,161722,Clupea harengus,Herring,multinational-ICES-RIGA
HERRSIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa-g-h-j-k
HERRSITKA,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-SITKA
HERRSOG,551209,Clupea pallasii,Pacific herring,Canada-DFO-SOG
HERRTOG,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-TOG
HERRVIa,161722,Clupea harengus,Herring,multinational-ICES-VIa
HERRVIaVIIbc,161722,Clupea harengus,Herring,multinational-ICES-VIa-VIIb-VIIc
HERRWCVANI,551209,Clupea pallasii,Pacific herring,Canada-DFO-WCVANI
HHTILEECS,645602,Branchiostegus japonicus,Horsehead tilefish,Japan-FAJ-ECS
HMACKIIa-IVa-Vb-VIa-VII-VIII,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII
HMACKIIIa-IVbc-VIId,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIIa-IVbc-VIId
HMACKIXa,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IXa
HMACKNWA,168588,Trachurus trachurus,Horse mackerel,multinational-FAO-NWA
HOGFISHEGM,170566,Lachnolaimus maximus,Hogfish,USA-NMFS-EGM
HOGFISHSEFL,170566,Lachnolaimus maximus,Hogfish,USA-NMFS-SEFL
HOKIENZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-ENZ
HOKIWNZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-WNZ
ILLEXNWATLC,82521,Illex illecebrosus,Northern shortfin squid,USA-NMFS-NWATLC
JAMBERJPN,168698,Seriola quinqueradiata,Japanese amberjack,Japan-FAJ-JPN
JANCHOPJPN,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-PJPN
JANCHOSETO,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-SETO
JANCHOTSST,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-TSST
JCSQUIDJPNAR,557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNAR
JCSQUIDJPNWR,557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNWR
JMACKPJPN,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-PJPN
JMACKTSST,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-TSST
JPUFFIMKB,646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-IMKB
JPUFFSOJECSSI,646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-SOJECSSI
JSNAPOKWI,643076,Paracaesio caerulea,Japanese snapper,Japan-FAJ-OKWI
KCROCKNPAC,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-NPAC
KCROCKOKS,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-OKS
KCROCKSWHOKK,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-SWHOKK
KELPGREENLINGORECOAST,167110,Hexagrammos decagrammus,Kelp greenling,USA-NMFS-ORECOAST
KFSHARNEATL,160651,Dalatias licha,Kitefin shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
KINGKLIPSA,165001,Genypterus capensis,Kingklip,South Africa-DETMCM-SA
KMACKGM,172435,Scomberomorus cavalla,King mackerel,USA-NMFS-GM
KMACKSATLC,172435,Scomberomorus cavalla,King mackerel,USA-NMFS-SATLC
KMFLOUNBSAI,172861,Atheresthes evermanni,Kamchatka flounder,USA-NMFS-BSAI
LCODLINGPAC,550672,Laemonema longipes,Longfin codling,Japan-FAJ-PAC
LDENTCWAAGO,169221,Dentex macrophthalmus,Large eye dentex,multinational-FAO-CWAAGO
LGSHARNEATL,160635,Centrophorus squamosus,Leafscale gulper shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
LHAIRTSOJECS,172385,Trichiurus lepturus,Largehead hairtail,Japan-FAJ-SOJECS
LINGCODNPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-NPCOAST
LINGCODSOG,167116,Ophiodon elongatus,Lingcod,Canada-DFO-SOG
LINGCODSPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-SPCOAST
LINGI-II,164760,Molva molva,Ling,multinational-ICES-I-II
LINGNEATL,164760,Molva molva,Ling,multinational-ICES-IIIa-IVa-VI-VII-VIII-IX-XII-XIV
LINGVa,164760,Molva molva,Ling,multinational-ICES-Va
LINGVb,164760,Molva molva,Ling,multinational-ICES-Vb
LISQUIDATLC,82372,Loligo pealeii,Longfin inshore squid,USA-NMFS-ATLC
LJOBOKWI,168918,Pristipomoides sieboldii,Lavender jobfish,Japan-FAJ-OKWI
LNOSESKA3CD,160851,Raja rhina,Longnose skate,Canada-DFO-WCVANI
LNOSESKA4B,160851,Raja rhina,Longnose skate,Canada-DFO-SOG
LNOSESKA5AB,160851,Raja rhina,Longnose skate,Canada-DFO-5AB
LNOSESKA5CDE,160851,Raja rhina,Longnose skate,Canada-DFO-HS
LNOSESKAPCOAST,160851,Raja rhina,Longnose skate,USA-NMFS-PCOAST
LNSNAPGM,168860,Lutjanus synagris,Lane snapper,USA-NMFS-GM
LOBSTERGB,97314,Homarus americanus,American lobster,USA-NMFS-5Z
LOBSTERGOM,97314,Homarus americanus,American lobster,USA-NMFS-5Y
LOBSTERLFA15-18,97314,Homarus americanus,American lobster,Canada-DFO-LFA15-18
LOBSTERLFA19-21,97314,Homarus americanus,American lobster,Canada-DFO-LFA19-21
LOBSTERLFA22,97314,Homarus americanus,American lobster,Canada-DFO-LFA22
LOBSTERLFA23-26AB,97314,Homarus americanus,American lobster,Canada-DFO-LFA23-26AB
LOBSTERLFA27-33,97314,Homarus americanus,American lobster,Canada-DFO-LFA27-33
LOBSTERLFA3-14,97314,Homarus americanus,American lobster,Canada-DFO-LFA3-14
LOBSTERLFA34,97314,Homarus americanus,American lobster,Canada-DFO-LFA34
LOBSTERLFA35-38,97314,Homarus americanus,American lobster,Canada-DFO-LFA35-38
LOBSTERLFA41,97314,Homarus americanus,American lobster,Canada-DFO-LFA41
LOBSTERSNE,97314,Homarus americanus,American lobster,USA-NMFS-SNE
LSDOGIIIa-IV-VIId,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-IIIa-IV-VIId
LSDOGVIIIabd,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VIIIabd
LSDOGVIIIc-IXa,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VIIIc-IXa
LSDOGVI-VIIabcefghij,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VI-VIIabcefghij
LSKAT5YCHATT,564130,Leucoraja erinacea,Little skate,USA-NMFS-5YCHATT
LSOLEIIIa-IV-VIId,172888,Microstomus kitt,Lemon sole,multinational-ICES-IIIa-IV-VIId
LSTHORNHPCOAST,166784,Sebastolobus altivelis,Longspine thornyhead,USA-NMFS-PCOAST
LUMP3Pn4RS,167612,Cyclopterus lumpus,Lumpfish,Canada-DFO-3Pn4RS
MACK5YCHATT,172414,Scomber scombrus,Atlantic mackerel,USA-NMFS-5YCHATT
MACKNEICES,172414,Scomber scombrus,Mackerel,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa
MACKNWATLSA3-4,172414,Scomber scombrus,Mackerel,Canada-DFO-NWATLSA3-4
MEG8c9a,172835,Lepidorhombus whiffiagonis,Megrim,multinational-ICES-VIIIc-IXa
MEGSPPIVa-VIa,172833,Lepidorhombus spp,Megrim spp,multinational-ICES-IVa-VIa
MEGSPPVIb,172833,Lepidorhombus spp,Megrim spp,multinational-ICES-VIb
MEGVII-VIIIabd,172835,Lepidorhombus whiffiagonis,Megrim,multinational-ICES-VII-VIIIabd
MENATGM,161734,Brevoortia patronus,Gulf menhaden,USA-NMFS-GM
MENATLAN,161732,Brevoortia tyrannus,Atlantic menhaden,USA-NMFS-ATL
MHMACKMEDGSA29,168590,Trachurus mediterraneus,Mediterranean horse mackerel,multinational-GFCM-GSA29
MONK2J3KLNOPs,164499,Lophius americanus,Monkfish,Canada-DFO-2J3KLNOPs
MONK3LNOPs,164499,Lophius americanus,Monkfish,Canada-DFO-3LNOPs
MONKGOMNGB,164499,Lophius americanus,Monkfish,USA-NMFS-GOMNGB
MONKSGBMATL,164499,Lophius americanus,Monkfish,USA-NMFS-SGBMATL
MORWONGESE,170262,Nemadactylus macropterus,Jackass morwong,Australia-AFMA-ESE
MORWONGSE,170262,Nemadactylus macropterus,Jackass morwong,Australia-AFMA-SE
MORWONGWSE,170262,Nemadactylus macropterus,Jackass morwong,Australia-AFMA-WSE
MSARDCWACIV-BEN,161831,Sardinella maderensis,Madeiran sardinella,multinational-FAO-CWACIV-BEN
MSARDNWA,161831,Sardinella maderensis,Madeiran sardinella,multinational-FAO-NWA
MULLQNSW,170335,Mugil cephalus,Sea mullet,Australia-DPIF-QNSW
MUTSNAPSATLCGM,168849,Lutjanus analis,Mutton snapper,USA-NMFS-SATLCGM
NEPHFU10,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU10
NEPHFU11,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU11
NEPHFU12,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU12
NEPHFU13,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU13
NEPHFU14,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU14
NEPHFU15,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU15
NEPHFU16,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU16
NEPHFU17,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU17
NEPHFU19,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU19
NEPHFU2021,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU2021
NEPHFU22,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU22
NEPHFU25,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU25
NEPHFU2627,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU2627
NEPHFU2829,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU2829
NEPHFU30,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU30
NEPHFU31,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU31
NEPHFU32,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU32
NEPHFU33,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU33
NEPHFU34,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU34
NEPHFU3-4,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU3-4
NEPHFU5,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU5
NEPHFU6,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU6
NEPHFU7,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU7
NEPHFU8,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU8
NEPHFU9,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-FU9
NEPHIV,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-IV
NEPHMEDGSA1,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA1
NEPHMEDGSA11,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA11
NEPHMEDGSA15-16,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA15-16
NEPHMEDGSA17,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA17
NEPHMEDGSA17-18,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA17-18
NEPHMEDGSA18,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA18
NEPHMEDGSA5,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA5
NEPHMEDGSA6,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA6
NEPHMEDGSA9,97317,Nephrops norvegicus,Norway lobster,multinational-GFCM-GSA9
NEPHVIa,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-VIa
NEPHVII,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-VII
NEPHVIIIab,97317,Nephrops norvegicus,Norway lobster,multinational-ICES-VIIIab
NPOUTIIIa-IV,164756,Trisopterus esmarkii,Norway pout,multinational-ICES-IIIa-IV
NPOUTVIa,164756,Trisopterus esmarkii,Norway pout,multinational-ICES-VIa
NROCKBSAI,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-BSAI
NROCKGA,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-GA
NRSOLEEBSAI,616392,Lepidopsetta polyxystra,Northern rock sole,USA-NMFS-EBSAI
NRSOLEGA,616392,Lepidopsetta polyxystra,Northern rock sole,USA-NMFS-GA
NSHRIMPCH,97075,Heterocarpus reedi,Nylon shrimp,Chile-SUBPESCA-CH
NSHRIMPCSCH,97075,Heterocarpus reedi,Nylon shrimp,Chile-SUBPESCA-CH-CS
NSHRIMPNCH,97075,Heterocarpus reedi,Nylon shrimp,Chile-SUBPESCA-CH-N
NZLINGESE,165000,Genypterus blacodes,Ling,Australia-AFMA-SE
NZLINGLIN3-4,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN3-4
NZLINGLIN5-6,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN5-6
NZLINGLIN6b,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN6b
NZLINGLIN72,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN72
NZLINGLIN7WC,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN7WC-WCSI
NZLINGWSE,165000,Genypterus blacodes,Ling,Australia-AFMA-WSE
NZSNAPNZ1BOP-HAGU,169231,Chrysophrys auratus,New Zealand snapper,New Zealand-MFish-SNA1-BOP-HAGU
NZSNAPNZ1ENLD,169231,Chrysophrys auratus,New Zealand snapper,New Zealand-MFish-SNA-1-ENLD
NZSNAPNZ7,169231,Chrysophrys auratus,New Zealand snapper,New Zealand-MFish-SNA-7
NZSNAPNZ8,169231,Chrysophrys auratus,New Zealand snapper,New Zealand-MFish-8
OCTOCWAGNB,82603,Octopus vulgaris,Octopus,multinational-FAO-CWAGNB
OFLOUNECS,172744,Paralichthys olivaceus,Japanese flounder,Japan-FAJ-ECS
OFLOUNNSJ,172744,Paralichthys olivaceus,Japanese flounder,Japan-FAJ-NSJ
OFLOUNPAC,172744,Paralichthys olivaceus,Japanese flounder,Japan-FAJ-PAC
OFLOUNSETO,172744,Paralichthys olivaceus,Japanese flounder,Japan-FAJ-SETO
OPOUTNWATLC,630979,Zoarces americanus,Ocean pout,USA-NMFS-NWATLC
OROUGHYCASCADE,166139,Hoplostethus atlanticus,Orange roughy,Australia-AFMA-CASCADE
OROUGHYCH,166139,Hoplostethus atlanticus,Orange roughy,multinational-SPRFMO-CHL
OROUGHYCR,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-CR
OROUGHYESCR,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-ESCR
OROUGHYNEATL,166139,Hoplostethus atlanticus,Orange roughy,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
OROUGHYNWCR,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-NWCR
OROUGHYNZ7A,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-NZ7A
OROUGHYNZMEC,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-NZMEC
OROUGHYSE,166139,Hoplostethus atlanticus,Orange roughy,Australia-AFMA-SE
PACBTUNA,172422,Thunnus orientalis,Pacific bluefin tuna,multinational-ISC-PAC
PANCHCCH,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-CH-C
PANCHCHVX,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-CHV-X
PANCHCSCH,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-CH-CS
PANCHNCH,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-CH-N
PANCHNCHSP,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-NCH-SP
PANCHPERUNC,551340,Engraulis ringens,Peruvian anchoveta,Peru-IMARPE-NC
PANCHSCH,551340,Engraulis ringens,Peruvian anchoveta,Chile-SUBPESCA-CH-S
PANDAL2G-3K,96967,Pandalus borealis,Northern shrimp,Canada-DFO-2G-3K
PANDAL4RST,96967,Pandalus borealis,Northern shrimp,Canada-DFO-4RST
PANDALGOM,96967,Pandalus borealis,Northern shrimp,USA-NMFS-5Y
PANDALICBC,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-ICBC
PANDALI-II,96967,Pandalus borealis,Northern shrimp,multinational-ICES-I-II
PANDALIIIaW-IVaE,96967,Pandalus borealis,Northern shrimp,multinational-ICES-IIIaW-IVaE
PANDALIVa,96967,Pandalus borealis,Northern shrimp,multinational-ICES-IVa
PANDALSFA13-15,96967,Pandalus borealis,Northern shrimp,Canada-DFO-SFA13-15
PANDALSFA2-3,96967,Pandalus borealis,Northern shrimp,Canada-DFO-SFA2-3
PANDALSFA4,96967,Pandalus borealis,Northern shrimp,Canada-DFO-SFA4
PANDALSFA5,96967,Pandalus borealis,Northern shrimp,Canada-DFO-SFA5
PANDALSFA6,96967,Pandalus borealis,Northern shrimp,Canada-DFO-SFA6
PANDALSMA14,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-14
PANDALSMA16,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-16
PANDALSMA18-19,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-18-19
PANDALSMAFR,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-FR
PANDALSMAGTSE,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-GTSE
PANDALSMAPRD,96970,Pandalus jordani,Ocean shrimp,Canada-DFO-SMA-PRD
PATCODARGS,550679,Salilota australis,Patagonian cod,Argentina-CFP-ARG-S
PATGRENADIERCH,550662,Macruronus magellanicus,Patagonian grenadier,Chile-SUBPESCA-CH-CS
PATGRENADIERSARG,550662,Macruronus magellanicus,Patagonian grenadier,Argentina-CFP-ARG-S
PAUANPAU5A,-997,Haliotis iris,Paua,New Zealand-MFish-NPAU5A
PAUAPAU5B,-997,Haliotis iris,Paua,New Zealand-MFish-PAU5B
PAUAPAU5D,-997,Haliotis iris,Paua,New Zealand-MFish-PAU5D
PAUAPAU7,-997,Haliotis iris,Paua,New Zealand-MFish-PAU7
PAUASPAU5A,-997,Haliotis iris,Paua,New Zealand-MFish-SPAU5A
PCEELARGS,165000,Genypterus blacodes,Pink cusk eel,Argentina-CFP-ARG-S
PCEELCH,165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH
PCEELCSCH,165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH-CS
PCEELSCH,165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH-S
PCOD5AB,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-5AB
PCOD5ABCD,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-5ABCD
PCODAI,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-AI
PCODBS,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BS
PCODBSAI,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BSAI
PCODGA,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-GA
PCODHOKK,164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-HOKK
PCODHS,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-HS
