stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
ATHAL5YZ,172933,Hippoglossus hippoglossus,Atlantic halibut,USA-NMFS-5YZ,USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA
ATKABSAI,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
ATKAGA,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
ATLCROAKMATLC,169283,Micropogonias undulatus,Atlantic croaker,USA-NMFS-MATLC,USA,NMFS,MATLC,Mid-Atlantic Coast,NA
ATOOTHFISHRS,642808,Dissostichus mawsoni,Antarctic toothfish,multinational-CCAMLR-RS,multinational,CCAMLR,RS,Ross Sea,NA
AUROCKPCOAST,166709,Sebastes aurora,Aurora rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
AUSSALMONNZ,168827,Arripis trutta,Australian salmon,New Zealand-MFish-NZ,New Zealand,MFish,NZ,New Zealand,NA
AWOLF5YZ,171341,Anarhichas lupus,Atlantic wolffish,USA-NMFS-5YZ,USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA
BCRABCHESB,98696,Callinectes sapidus,Blue crab,USA-MDSTATE-CHESB,USA,MDSTATE,CHESB,Chesapeake Bay,NA
BCROAKCWAGIN-LBR,646550,Pseudotolithus elongatus,Bobo croaker,multinational-FAO-CWAGIN-LBR,multinational,FAO,CWAGIN-LBR,Central West Africa Guinea-Liberia,NA
BERYXSPPNEATL,166154,Beryx spp,Beryx spp,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Northeast Atlantic,NA
BGRDRNSWWA,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-NSWWA,Australia,AFMA,NSWWA,New South Wales to Western Australia,NA
BGRDRSE,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-SE,Australia,AFMA,SE,Southeast Australia,NA
BGROCKPCOAST,166728,Sebastes melanostomus,Blackgill rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
BGRUNTCWACIV-BEN,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACIV-BEN,multinational,FAO,CWACIV-BEN,Central West Africa Cote Divoire-Benin,NA
BGRUNTCWACOG_AGO,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACOG_AGO,multinational,FAO,CWACOG_AGO,Central West Africa Congo_Angola,NA
BHAKECWAAGO,550664,Merluccius polli,Benguela hake,multinational-FAO-CWAAGO,multinational,FAO,CWAAGO,Central West Africa Angola,NA
BHEADSHARATL,160502,Sphyrna tiburo,Bonnethead shark,USA-NMFS-ATL,USA,NMFS,ATL,Atlantic,NA
BIGEYEATL,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,multinational,ICCAT,ATL,Atlantic Ocean,NA
BIGEYECWPAC,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-CWPAC,multinational,WCPFC,CWPAC,Central Western Pacific Ocean,NA
BIGEYEEPAC,172428,Thunnus obesus,Bigeye tuna,multinational-IATTC-EPAC,multinational,IATTC,EPAC,Eastern Pacific,NA
BIGEYEIO,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,multinational,IOTC,IO,Indian Ocean,NA
BIGHTREDSE,622143,Centroberyx gerrardi,Bight redfish,Australia-AFMA-SE,Australia,AFMA,SE,Southeast Australia,NA
BIGSKA3CD,160848,Raja binoculata,Big skate,Canada-DFO-WCVANI,Canada,DFO,WCVANI,West Coast of Vancouver Island,NA
BIGSKA4B,160848,Raja binoculata,Big skate,Canada-DFO-SOG,Canada,DFO,SOG,Strait of Georgia,NA
BIGSKA5AB,160848,Raja binoculata,Big skate,Canada-DFO-5AB,Canada,DFO,5AB,Queen Charlotte Sound,NA
BIGSKA5CDE,160848,Raja binoculata,Big skate,Canada-DFO-HS,Canada,DFO,HS,Hecate Strait,NA
BJMACKXa2,168593,Trachurus picturatus,Blue jack mackerel,multinational-ICES-Xa2,multinational,ICES,Xa2,Azores,NA
BKCDLFENI,168298,Epigonus telescopus,Black cardinalfish,New Zealand-MFish-ENI,New Zealand,MFish,ENI,East coast of North Island,NA
BKINGCRABPI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-PI,USA,NMFS,PI,Pribilof Islands,NA
BKINGCRABSMI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-SMI,USA,NMFS,SMI,Saint Matthews Island,NA
BKSFNEATL,172389,Aphanopus carbo,Black scabbardfish,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BLACKGROUPERGMSATL,167760,Mycteroperca bonaci,Black grouper,USA-NMFS-GMSATL,USA,NMFS,GMSATL,Gulf of Mexico and South Atlantic,NA
BLACKOREOPR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-PR,New Zealand,MFish,PR,Pukaki Rise,NA
BLACKOREOWECR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-WECR,New Zealand,MFish,WECR,West end of Chatham Rise,NA
BLACKROCKCAL,166727,Sebastes melanops,Black rockfish,USA-NMFS-CAL,USA,NMFS,CAL,California,NA
BLACKROCKNPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-NPCOAST,USA,NMFS,NPCOAST,Northern Pacific Coast,NA
BLACKROCKORECOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-ORECOAST,USA,NMFS,ORECOAST,Oregon Coast,NA
BLACKROCKSPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
BLACKROCKWASH,166727,Sebastes melanops,Black rockfish,USA-NMFS-WASH,USA,NMFS,WASH,Washington,NA
BLINGI-II-IIIa-IVa-VIII-IX-XII,164761,Molva dypterygia,Blue ling,multinational-ICES-I-II-IIIa-IVa-VIII-IX-XII,multinational,ICES,I-II-IIIa-IVa-VIII-IX-XII,ICES 1-2-3a-4a-8-9-12,NA
BLINGVa-XIV,164761,Molva dypterygia,Blue ling,multinational-ICES-Va-XIV,multinational,ICES,Va-XIV,ICES 5a-14,NA
BLINGVb-VI-VII,164761,Molva dypterygia,Blue ling,multinational-ICES-Vb-VI-VII,multinational,ICES,Vb-VI-VII,ICES 5b-6-7,NA
BLKMARLINIO,768125,Istiompax indica,Black marlin,multinational-IOTC-IO,multinational,IOTC,IO,Indian Ocean,NA
BLRAYIVa-VI,160880,Raja brachyura,Blonde ray,multinational-ICES-IVa-VI,multinational,ICES,IVa-VI,ICES 4a-6,NA
BLRAYIVc-VIId,160880,Raja brachyura,Blonde ray,multinational-ICES-IVc-VIId,multinational,ICES,IVc-VIId,ICES 4c-7d,NA
BLRAYIXa,160880,Raja brachyura,Blonde ray,multinational-ICES-IXa,multinational,ICES,IXa,Portugese Waters -East,NA
BLRAYVIIafg,160880,Raja brachyura,Blonde ray,multinational-ICES-VIIafg,multinational,ICES,VIIafg,ICES 7afg,NA
BLRAYVIIe,160880,Raja brachyura,Blonde ray,multinational-ICES-VIIe,multinational,ICES,VIIe,Western English Channel,NA
BLSHARNPAC,160424,Prionace glauca,Blue shark,multinational-ISC-NPAC,Multinational,ISC,NPAC,North Pacific Ocean,NA
BLTILESATLC,168543,Caulolatilus microps,Blueline tilefish,USA-NMFS-SATLC,USA,NMFS,SATLC,Southern Atlantic coast,NA
BLUEFISHATLC,168559,Pomatomus saltatrix,Bluefish,USA-NMFS-ATLC,USA,NMFS,ATLC,Atlantic Coast,NA
BLUEROCKCAL,166730,Sebastes mystinus,Blue rockfish,USA-NMFS-CAL,USA,NMFS,CAL,California,NA
BMACKECS,172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-ECS,Japan,FAJ,ECS,East China Sea,NA
BMACKPJPN,172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-PJPN,Japan,FAJ,PJPN,Pacific Coast of Japan,NA
BMARLINATL,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,multinational,ICCAT,ATL,Atlantic Ocean,NA
BMARLINIO,172497,Makaira mazara,Indo Pacific blue marlin,multinational-IOTC-IO,multinational,IOTC,IO,Indian Ocean,NA
BMARLINPAC,172491,Makaira nigricans,Blue marlin,multinational-ISC-PAC,Multinational,ISC,PAC,Pacific Ocean,NA
BMDOGVIII-IXa,160034,Galeus melastomus,Blackmouth dogfish,multinational-ICES-VIII-IXa,multinational,ICES,VIII-IXa,ICES 8-9a,NA
BMDOGVI-VII,160034,Galeus melastomus,Blackmouth dogfish,multinational-ICES-VI-VII,multinational,ICES,VI-VII,ICES 6-7,NA
BNKROCKCAL,166761,Sebastes rufus,Bank rockfish,USA-NMFS-CAL,USA,NMFS,CAL,California,NA
BNOSESHARATL,160304,Carcharhinus acronotus,Blacknose shark,USA-NMFS-ATL,USA,NMFS,ATL,Atlantic,NA
BNSNZ,172514,Hyperoglyphe antarctica,Bluenose,New Zealand-MFish-NZ,New Zealand,MFish,NZ,New Zealand,NA
BOARVI-VIII,166320,Capros aper,Boarfish,multinational-ICES-VI-VIII,multinational,ICES,VI-VIII,ICES 6-8,NA
BOCACCBCW,166733,Sebastes paucispinis,Bocaccio,Canada-DFO-BCW,Canada,DFO,BCW,British Columbia Waters,NA
BOCACCSPCOAST,166733,Sebastes paucispinis,Bocaccio,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
BONGACWAGAB-COD,551295,Ethmalosa fimbriata,Bonga,multinational-FAO-CWAGAB-COD,multinational,FAO,CWAGAB-COD,Central West Africa Gabon-Congo DR,NA
BONGANWA,551295,Ethmalosa fimbriata,Bonga,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
BRILL2232,172749,Scophthalmus rhombus,Brill,multinational-ICES-22-32,multinational,ICES,22-32,Baltic Areas 22-32,NA
BRILLIIIa-IV-VIIde,172749,Scophthalmus rhombus,Brill,multinational-ICES-IIIa-IV-VIIde,multinational,ICES,IIIa-IV-VIIde,ICES 3a-4-7de,NA
BRMSOJ,647939,Dentex tumifrons,Yellow sea bream,Japan-FAJ-SOJ,Japan,FAJ,SOJ,Sea of Japan,NA
BRMSPPCWACIV-BEN,-985,Dentex spp,Seabream,multinational-FAO-CWACIV-BEN,multinational,FAO,CWACIV-BEN,Central West Africa Cote Divoire-Benin,NA
BRMSPPCWAGAB-AGO,-985,Dentex spp,Seabream,multinational-FAO-CWAGAB-AGO,multinational,FAO,CWAGAB-AGO,Central West Africa Gabon-Angola,NA
BRMSPPCWAGIN-LBR,-985,Dentex spp,Seabream,multinational-FAO-CWAGIN-LBR,multinational,FAO,CWAGIN-LBR,Central West Africa Guinea-Liberia,NA
BRNROCKPCOAST,166708,Sebastes auriculatus,Brown rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
BRNSHRIMPGM,551570,Farfantepenaeus aztecus,Brown shrimp,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
BSBASSMATLC,167687,Centropristis striata,Black sea bass,USA-NMFS-MATLC,USA,NMFS,MATLC,Mid-Atlantic Coast,NA
BSBASSSATL,167687,Centropristis striata,Black sea bass,USA-NMFS-SATL,USA,NMFS,SATL,South Atlantic,NA
BSCRAPERSOJECS,646253,Thamnaconus modestus,Black scraper,Japan-FAJ-SOJECS,Japan,FAJ,SOJECS,Sea of Japan and East China Sea,NA
BSKAT5YZSNE,564139,Dipturus laevis,Barndoor skate,USA-NMFS-5YZSNE,USA,NMFS,5YZSNE,Gulf of Maine / Georges Bank-Southern New England,NA
BSKATCANATL,564139,Dipturus laevis,Barndoor skate,Canada-DFO-ATL,Canada,DFO,ATL,Canadian Atlantic Ocean,NA
BSKSHARNEATL,159907,Cetorhinus maximus,Basking shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BSQLOBSTERCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH,Chile,SUBPESCA,CH,Chile,NA
BSQLOBSTERCSCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH-CS,Chile,SUBPESCA,CH-CS,Central-Southern Chile,NA
BSQLOBSTERNCH,-992,Cervimunida johni,Yellow squat lobster,Chile-SUBPESCA-CH-N,Chile,SUBPESCA,CH-N,Northern Chile,NA
BTIPSHARATL,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-ATL,USA,NMFS,ATL,Atlantic,NA
BTIPSHARGM,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
BTSHRIMPNAUST,95625,Penaeus esculentus,Brown tiger shrimp,Australia-AFMA-NAUST,Australia,AFMA,NAUST,Northern Australia,NA
BUTTERGOMCHATT,172567,Peprilus triacanthus,Atlantic butterfish,USA-NMFS-5YCHATT,USA,NMFS,5YCHATT,Gulf of Maine / Cape Hatteras,NA
BWHITMEDGSA1,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA1,multinational,GFCM,GSA1,Northern Alboran Sea,NA
BWHITMEDGSA6,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA6,multinational,GFCM,GSA6,Northern Spain,NA
BWHITMEDGSA9,164774,Micromesistius poutassou,Blue whiting,multinational-GFCM-GSA9,multinational,GFCM,GSA9,Ligurian and North Tyrrhenian Sea,NA
BWHITNEA,164774,Micromesistius poutassou,Blue whiting,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
BZCRABSOJ,-965,Chionoecetes japonicus,Beni zuwai crab,Japan-FAJ-SOJ,Japan,FAJ,SOJ,Sea of Japan,NA
