stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
ESOLEHS,172921,Parophrys vetulus,English sole,Canada-DFO-HS,Canada,DFO,HS,Hecate Strait,NA
ESOLEPCOAST,172921,Parophrys vetulus,English sole,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
EULAPCOASTCCDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTCCDU,Canada,DFO,PCOASTCCDU,Pacific Coast of Canada Central Coast Designatable Unit,NA
EULAPCOASTFRDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTFRDU,Canada,DFO,PCOASTFRDU,Pacific Coast of Canada Fraser River Designatable Unit,NA
EULAPCOASTNSDU,162051,Thaleichthys pacificus,Eulachon,Canada-DFO-PCOASTNSDU,Canada,DFO,PCOASTNSDU,Pacific Coast of Canada Nass / Skeena Designatable Unit,NA
FHFLOUNSOJ,616041,Hippoglossoides dubius,Flathead flounder,Japan-FAJ-SOJ,Japan,FAJ,SOJ,Sea of Japan,NA
FLSOLEBSAI,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
FLSOLEGA,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
FMEG8c9a,172834,Lepidorhombus boscii,Fourspotted megrim,multinational-ICES-VIIIc-IXa,multinational,ICES,VIIIc-IXa,ICES 8c-9a,NA
FSCADNWA,641982,Caranx rhonchus,False scad,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
FSNAPOKWI,168905,Etelis coruscans,Flame snapper,Japan-FAJ-OKWI,Japan,FAJ,OKWI,Okinawa Islands,NA
FTOOTHSHARATL,160409,Carcharhinus isodon,Finetooth shark,USA-NMFS-ATL,USA,NMFS,ATL,Atlantic,NA
GAGGM,167759,Mycteroperca microlepis,Gag,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
GAGSATLC,167759,Mycteroperca microlepis,Gag,USA-NMFS-SATLC,USA,NMFS,SATLC,Southern Atlantic coast,NA
GEMFISHNZ,550883,Rexea solandri,Common gemfish,New Zealand-MFish-NZ,New Zealand,MFish,NZ,New Zealand,NA
GEMFISHSE,550883,Rexea solandri,Common gemfish,Australia-AFMA-SE,Australia,AFMA,SE,Southeast Australia,NA
GFORKBMEDGSA9,164751,Phycis blennoides,Greater forkbeard,multinational-GFCM-GSA9,multinational,GFCM,GSA9,Ligurian and North Tyrrhenian Sea,NA
GFORKNEATL,164751,Phycis blennoides,Greater forkbeard,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Northeast Atlantic,NA
GGRUNTCWAGAB-AGO,-988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGAB-AGO,multinational,FAO,CWAGAB-AGO,Central West Africa Gabon-Angola,NA
GGRUNTCWAGIN-LBR,-988,Pomadasys spp,Grey grunt,multinational-FAO-CWAGIN-LBR,multinational,FAO,CWAGIN-LBR,Central West Africa Guinea-Liberia,NA
GGURNIIIa-IV-VIId,167044,Eutrigla gurnardus,Grey gurnard,multinational-ICES-IIIa-IV-VIId,multinational,ICES,IIIa-IV-VIId,ICES 3a-4-7d,NA
GHAL01ABCDEF,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-01ABCDEF,multinational,NAFO,01ABCDEF,NAFO divisions 01ABCDEF,NA
GHAL23KLMNO,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-23KLMNO,multinational,NAFO,23KLMNO,Labrador Shelf - Grand Banks,NA
GHAL4RST,172930,Reinhardtius hippoglossoides,Greenland halibut,Canada-DFO-4RST,Canada,DFO,4RST,Gulf of St. Lawrence,NA
GHALBSAI,172930,Reinhardtius hippoglossoides,Greenland halibut,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
GHALNEAR,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
GHALV-VI-XII-XIV,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-V-VI-XII-XIV,multinational,ICES,V-VI-XII-XIV,ICES 5-6-12-14,NA
GHBRMGSA7,647901,Sparus aurata,Gilthead seabream,multinational-GFCM-GSA7,multinational,GFCM,GSA7,Gulf of Lions,NA
GJOBMHI,168926,Aprion virescens,Green jobfish,USA-NMFS-MHI,USA,NMFS,MHI,Main Hawaiian Islands,NA
GKCRABAI,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AI,USA,NMFS,AI,Aleutian Islands,NA
GKCRABAIES,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIES,USA,NMFS,AIES,Aleutian Islands Eastern segment,NA
GKCRABAIWS,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIWS,USA,NMFS,AIWS,Aleutian Islands Western segment,NA
GKCRABPI,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-PI,USA,NMFS,PI,Pribilof Islands,NA
GLGROUPSATLCGM,167695,Epinephelus itajara,Goliath grouper,USA-NMFS-SATLCGM,USA,NMFS,SATLCGM,Southern Atlantic coast and Gulf of Mexico,NA
GOLDREDNEAR,166781,Sebastes norvegicus,Golden redfish,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
GOLDREDV-VI-XII-XIV,166781,Sebastes norvegicus,Golden redfish,multinational-ICES-V-VI-XII-XIV,multinational,ICES,V-VI-XII-XIV,ICES 5-6-12-14,NA
GOPHERSPCOAST,166767,Sebastes carnatus,Gopher rockfish,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
GPOCTOBSAI,557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
GPOCTOGA,557227,Enteroctopus dofleini,Giant Pacific octopus,USA-NMFS-GA,USA,NMFS,GA,Gulf of Alaska,NA
GRAMBERGM,168689,Seriola dumerili,Greater amberjack,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
GRAMBERSATLC,168689,Seriola dumerili,Greater amberjack,USA-NMFS-SATLC,USA,NMFS,SATLC,Southern Atlantic coast,NA
GRNSTROCKPCOAST,166717,Sebastes elongatus,Greenstriped rockfish,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
GRSHRIMPMEDGSA10,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA10,multinational,GFCM,GSA10,South Tyrrhenian Sea,NA
GRSHRIMPMEDGSA11,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA11,multinational,GFCM,GSA11,Sardinia,NA
GRSHRIMPMEDGSA12-16,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA12-16,multinational,GFCM,GSA12-16,Geographical Sub-Areas 12-16,NA
GRSHRIMPMEDGSA18-19,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA18-19,multinational,GFCM,GSA18-19,"South Adriatic Sea and West Ionian Sea (GSA 18,19)",NA
GRSHRIMPMEDGSA9,96056,Aristaeomorpha foliacea,Giant red shrimp,multinational-GFCM-GSA9,multinational,GFCM,GSA9,Ligurian and North Tyrrhenian Sea,NA
GRSNAPGM,168848,Lutjanus griseus,Gray snapper,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
GRSPROCKNCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-NPCOAST,USA,NMFS,NPCOAST,Northern Pacific Coast,NA
GRSPROCKSCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
GSSMELTI-II-IIIa-IV,162064,Argentina silus,Greater silver smelt,multinational-ICES-I-II-IIIa-IV,multinational,ICES,I-II-IIIa-IV,ICES 1-2-3a-4,NA
GSSMELTVa-XIV,162064,Argentina silus,Greater silver smelt,multinational-ICES-Va-XIV,multinational,ICES,Va-XIV,ICES 5a-14,NA
GSSMELTVb-VIa,162064,Argentina silus,Greater silver smelt,multinational-ICES-Vb-VIa,multinational,ICES,Vb-VIa,ICES 5b-6a,NA
GSSMELTVIb-VII-VIII-IX-X-XII,162064,Argentina silus,Greater silver smelt,multinational-ICES-VIb-VII-VIII-IX-X-XII,multinational,ICES,VIb-VII-VIII-IX-X-XII,ICES 6b-7-8-9-10-12,NA
GSTRGZRSTA7,171064,Kathetostoma giganteum,Giant stargazer,New Zealand-MFish-STA7,New Zealand,MFish,STA7,NZ Area STA7,NA
GTPRAWNNAUST,95644,Penaeus semisulcatus,Grooved tiger prawn,Australia-AFMA-NAUST,Australia,AFMA,NAUST,Northern Australia,NA
GTREVMHI,168618,Caranx ignobilis,Giant trevally,USA-NMFS-MHI,USA,NMFS,MHI,Main Hawaiian Islands,NA
GTRIGGM,173138,Balistes capriscus,Gray triggerfish,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
GURCH4RST,157969,Strongylocentrotus droebachiensis,Green sea urchin,Canada-DFO-4RST,Canada,DFO,4RST,Gulf of St. Lawrence,NA
HAD3LNO,164744,Melanogrammus aeglefinus,Haddock,multinational-NAFO-3LNO,multinational,NAFO,3LNO,Grand Banks,NA
HAD3Ps,164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-3Ps,Canada,DFO,3Ps,St. Pierre Bank,NA
HAD4X5Y,164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-4X5Y,Canada,DFO,4X5Y,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",NA
HAD5Y,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-5Y,USA,NMFS,5Y,Gulf of Maine,NA
HADFAPL,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Vb1,multinational,ICES,Vb1,Faroe Plateau,NA
HADGB,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-GB,USA,NMFS,GB,Georges Bank,NA
HADICE,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Va,multinational,ICES,Va,Iceland Grounds,NA
HADIS,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIa,multinational,ICES,VIIa,Irish Sea,NA
HADNEAR,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
HADNS-IIIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-IIIa-IV,multinational,ICES,IIIa-IV,ICES 3a-4,NA
HADNS-IIIa-VIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-NS-IIIa-VIa,multinational,ICES,NS-IIIa-VIa,ICES 3a-4-6a,NA
HADROCK,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIb,multinational,ICES,VIb,Rockall Bank,NA
HADVIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIa,multinational,ICES,VIa,West of Scotland,Clyde herring
HADVIIb-k,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIb-k,multinational,ICES,VIIb-k,ICES 7b-k,NA
HAKEMEDGSA15-16,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA15-16,multinational,GFCM,GSA15-16,"Malta Island and South of Sicily (GSA 15, 16)",NA
HAKEMEDGSA1-7,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA1-7,multinational,GFCM,GSA1-7,Geographical Sub-Areas 1-7,NA
HAKEMEDGSA17-18,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA17-18,multinational,GFCM,GSA17-18,"Adriatic Sea (GSA 17,18)",NA
HAKEMEDGSA19,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA19,multinational,GFCM,GSA19,Western Ionian Sea,NA
HAKEMEDGSA20,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA20,multinational,GFCM,GSA20,Eastern Ionian Sea,NA
HAKEMEDGSA22-23,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA22-23,multinational,GFCM,GSA22-23,"Aegean Sea and Crete Island (GSA 22,23)",NA
HAKEMEDGSA7,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA7,multinational,GFCM,GSA7,Gulf of Lions,NA
HAKEMEDGSA9-11,164795,Merluccius merluccius,Hake,multinational-GFCM-GSA9-11,multinational,GFCM,GSA9-11,Geographical Sub-Areas 9-11,NA
HAKENRTN,164795,Merluccius merluccius,Hake,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,multinational,ICES,IIIa-IV-VI-VII-VIIIabd,ICES 3a-4-6-7-8abd,NA
HAKENWAMAR,164795,Merluccius merluccius,Hake,multinational-FAO-NWAMAR,multinational,FAO,NWAMAR,North West Africa Morocco,NA
HAKESOTH,164795,Merluccius merluccius,Hake,multinational-ICES-VIIIc-IXa,multinational,ICES,VIIIc-IXa,ICES 8c-9a,NA
HAKESPPNWA,-963,Merluccius spp,Hake spp,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
HAKESPPSAF,-963,Merluccius spp,Hake spp,Namibia-NMFMR-SAF,Namibia,NMFMR,SAF,Southern Africa,NA
HERR2224IIIa,161722,Clupea harengus,Herring,multinational-ICES-22-24-IIIa,multinational,ICES,22-24-IIIa,ICES 22-24-3a,NA
HERR2529-32,161722,Clupea harengus,Herring,multinational-ICES-2529-32,multinational,ICES,2529-32,Subdivisions 25-29 and 32,NA
HERR2532,161722,Clupea harengus,Herring,multinational-ICES-25-32,multinational,ICES,25-32,Eastern Baltic,NA
HERR30,161722,Clupea harengus,Herring,multinational-ICES-30,multinational,ICES,30,Bothnian Sea,NA
HERR30-31,161722,Clupea harengus,Herring,multinational-ICES-30-31,multinational,ICES,30-31,Subdivisions 30-31,NA
HERR31,161722,Clupea harengus,Herring,multinational-ICES-31,multinational,ICES,31,Bothnian Bay,NA
HERR4RFA,161722,Clupea harengus,Herring,Canada-DFO-4RFS,Canada,DFO,4RFS,NAFO division 4R (Fall spawners),NA
HERR4RSP,161722,Clupea harengus,Herring,Canada-DFO-4RSS,Canada,DFO,4RSS,NAFO division 4R (Spring spawners),NA
HERR4S,161722,Clupea harengus,Herring,Canada-DFO-4S,Canada,DFO,4S,Quebec North Shore,NA
HERR4SFS,161722,Clupea harengus,Herring,Canada-DFO-4SFS,Canada,DFO,4SFS,Quebec North Shore (Fall spawners),NA
HERR4SSS,161722,Clupea harengus,Herring,Canada-DFO-4SSS,Canada,DFO,4SSS,Quebec North Shore (Spring spawners),NA
HERR4TFA,161722,Clupea harengus,Herring,Canada-DFO-4TFS,Canada,DFO,4TFS,Southern Gulf of St. Lawrence (Fall spawners),NA
HERR4TSP,161722,Clupea harengus,Herring,Canada-DFO-4TSS,Canada,DFO,4TSS,Southern Gulf of St. Lawrence (Spring spawners),NA
HERR4VWX,161722,Clupea harengus,Herring,Canada-DFO-4VWX,Canada,DFO,4VWX,Scotian Shelf and Bay of Fundy,NA
HERRCC,551209,Clupea pallasii,Pacific herring,Canada-DFO-CC,Canada,DFO,CC,Central Coast,NA
HERRHOKK,551209,Clupea pallasii,Pacific herring,Japan-FAJ-HOKK,Japan,FAJ,HOKK,Hokkaido,NA
HERRIsum,161722,Clupea harengus,Herring,multinational-ICES-VaSS,multinational,ICES,VaSS,Iceland (Summer spawners),NA
HERRNFLDESC,161722,Clupea harengus,Herring,Canada-DFO-NFLDESC,Canada,DFO,NFLDESC,Newfoundland East and South Coast,NA
HERRNIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa,multinational,ICES,VIIa,Irish Sea,NA
HERRNORSS,161722,Clupea harengus,Herring,multinational-ICES-I-II-IVa-V-XIVaNSS,multinational,ICES,I-II-IVa-V-XIVaNSS,ICES 1-2-4a-5-14a (Norwegian Spring Spawners),NA
HERRNS-IIIa-VIId,161722,Clupea harengus,Herring,multinational-ICES-IIIa-IV-VIId,multinational,ICES,IIIa-IV-VIId,ICES 3a-4-7d,NA
HERRNWATLC,161722,Clupea harengus,Herring,USA-NMFS-NWATLC,USA,NMFS,NWATLC,Northwestern Atlantic Coast,NA
HERRPRD,551209,Clupea pallasii,Pacific herring,Canada-DFO-PRD,Canada,DFO,PRD,Prince Rupert District,NA
HERRPWS,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-PWS,USA,AKSTATE,PWS,Prince William Sound,NA
HERRQCI,551209,Clupea pallasii,Pacific herring,Canada-DFO-QCI,Canada,DFO,QCI,Queen Charlotte Islands,Haida Gwaii
HERRRIGA,161722,Clupea harengus,Herring,multinational-ICES-RIGA,multinational,ICES,RIGA,Gulf of Riga East of Gotland,NA
HERRSIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa-g-h-j-k,multinational,ICES,VIIa-g-h-j-k,ICES 7a-g-h-j-k,NA
HERRSITKA,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-SITKA,USA,AKSTATE,SITKA,Sitka,NA
HERRSOG,551209,Clupea pallasii,Pacific herring,Canada-DFO-SOG,Canada,DFO,SOG,Strait of Georgia,NA
HERRTOG,551209,Clupea pallasii,Pacific herring,USA-AKSTATE-TOG,USA,AKSTATE,TOG,Togiak District,NA
HERRVIa,161722,Clupea harengus,Herring,multinational-ICES-VIa,multinational,ICES,VIa,West of Scotland,Clyde herring
HERRVIaVIIbc,161722,Clupea harengus,Herring,multinational-ICES-VIa-VIIb-VIIc,multinational,ICES,VIa-VIIb-VIIc,ICES 5a-7bc,NA
HERRWCVANI,551209,Clupea pallasii,Pacific herring,Canada-DFO-WCVANI,Canada,DFO,WCVANI,West Coast of Vancouver Island,NA
HHTILEECS,645602,Branchiostegus japonicus,Horsehead tilefish,Japan-FAJ-ECS,Japan,FAJ,ECS,East China Sea,NA
HMACKIIa-IVa-Vb-VIa-VII-VIII,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,multinational,ICES,IIa-IVa-Vb-VIa-VII-VIII,ICES 2a-4a-5b-6a-7-8,NA
HMACKIIIa-IVbc-VIId,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IIIa-IVbc-VIId,multinational,ICES,IIIa-IVbc-VIId,ICES 3a-4bc-7d,NA
HMACKIXa,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IXa,multinational,ICES,IXa,Portugese Waters -East,NA
HMACKNWA,168588,Trachurus trachurus,Horse mackerel,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
HOGFISHEGM,170566,Lachnolaimus maximus,Hogfish,USA-NMFS-EGM,USA,NMFS,EGM,Eastern Gulf of Mexico,NA
HOGFISHSEFL,170566,Lachnolaimus maximus,Hogfish,USA-NMFS-SEFL,USA,NMFS,SEFL,Southeast Florida,NA
HOKIENZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-ENZ,New Zealand,MFish,ENZ,Eastern New Zealand,NA
HOKIWNZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-WNZ,New Zealand,MFish,WNZ,Western New Zealand,NA
ILLEXNWATLC,82521,Illex illecebrosus,Northern shortfin squid,USA-NMFS-NWATLC,USA,NMFS,NWATLC,Northwestern Atlantic Coast,NA
JAMBERJPN,168698,Seriola quinqueradiata,Japanese amberjack,Japan-FAJ-JPN,Japan,FAJ,JPN,Japan,NA
JANCHOPJPN,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-PJPN,Japan,FAJ,PJPN,Pacific Coast of Japan,NA
JANCHOSETO,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-SETO,Japan,FAJ,SETO,Inland Sea of Japan,NA
JANCHOTSST,161835,Engraulis japonicus,Japanese anchovy,Japan-FAJ-TSST,Japan,FAJ,TSST,Tsushima Strait,NA
JCSQUIDJPNAR,557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNAR,Japan,FAJ,JPNAR,Japan Autumn recruitment,NA
JCSQUIDJPNWR,557230,Todarodes pacificus,Japanese flying squid,Japan-FAJ-JPNWR,Japan,FAJ,JPNWR,Japan Winter recruitment,NA
JMACKPJPN,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-PJPN,Japan,FAJ,PJPN,Pacific Coast of Japan,NA
JMACKTSST,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAJ-TSST,Japan,FAJ,TSST,Tsushima Strait,NA
JPUFFIMKB,646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-IMKB,Japan,FAJ,IMKB,Ise and Mikawa Bay,NA
JPUFFSOJECSSI,646410,Takifugu rubripes,Japanese pufferfish,Japan-FAJ-SOJECSSI,Japan,FAJ,SOJECSSI,Sea of Japan and East China Sea and Seto Inland sea,NA
JSNAPOKWI,643076,Paracaesio caerulea,Japanese snapper,Japan-FAJ-OKWI,Japan,FAJ,OKWI,Okinawa Islands,NA
KCROCKNPAC,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-NPAC,Japan,FAJ,NPAC,North Pacific,NA
KCROCKOKS,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-OKS,Japan,FAJ,OKS,Okhotsk Sea,NA
KCROCKSWHOKK,166785,Sebastolobus macrochir,Kichiji rockfish,Japan-FAJ-SWHOKK,Japan,FAJ,SWHOKK,Southwestern coast of Hokkaido,NA
KELPGREENLINGORECOAST,167110,Hexagrammos decagrammus,Kelp greenling,USA-NMFS-ORECOAST,USA,NMFS,ORECOAST,Oregon Coast,NA
KFSHARNEATL,160651,Dalatias licha,Kitefin shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Northeast Atlantic,NA
KINGKLIPSA,165001,Genypterus capensis,Kingklip,South Africa-DETMCM-SA,South Africa,DETMCM,SA,South Africa,NA
KMACKGM,172435,Scomberomorus cavalla,King mackerel,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
KMACKSATLC,172435,Scomberomorus cavalla,King mackerel,USA-NMFS-SATLC,USA,NMFS,SATLC,Southern Atlantic coast,NA
KMFLOUNBSAI,172861,Atheresthes evermanni,Kamchatka flounder,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
LCODLINGPAC,550672,Laemonema longipes,Longfin codling,Japan-FAJ-PAC,Japan,FAJ,PAC,Pacific Ocean,NA
LDENTCWAAGO,169221,Dentex macrophthalmus,Large eye dentex,multinational-FAO-CWAAGO,multinational,FAO,CWAAGO,Central West Africa Angola,NA
LGSHARNEATL,160635,Centrophorus squamosus,Leafscale gulper shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,multinational,ICES,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV
LHAIRTSOJECS,172385,Trichiurus lepturus,Largehead hairtail,Japan-FAJ-SOJECS,Japan,FAJ,SOJECS,Sea of Japan and East China Sea,NA
LINGCODNPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-NPCOAST,USA,NMFS,NPCOAST,Northern Pacific Coast,NA
LINGCODSOG,167116,Ophiodon elongatus,Lingcod,Canada-DFO-SOG,Canada,DFO,SOG,Strait of Georgia,NA
LINGCODSPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
LINGI-II,164760,Molva molva,Ling,multinational-ICES-I-II,multinational,ICES,I-II,North-East Arctic,NA
LINGNEATL,164760,Molva molva,Ling,multinational-ICES-IIIa-IVa-VI-VII-VIII-IX-XII-XIV,multinational,ICES,IIIa-IVa-VI-VII-VIII-IX-XII-XIV,Northeast Atlantic,NA
LINGVa,164760,Molva molva,Ling,multinational-ICES-Va,multinational,ICES,Va,Iceland Grounds,NA
LINGVb,164760,Molva molva,Ling,multinational-ICES-Vb,multinational,ICES,Vb,Faroe Grounds,NA
LISQUIDATLC,82372,Loligo pealeii,Longfin inshore squid,USA-NMFS-ATLC,USA,NMFS,ATLC,Atlantic Coast,NA
LJOBOKWI,168918,Pristipomoides sieboldii,Lavender jobfish,Japan-FAJ-OKWI,Japan,FAJ,OKWI,Okinawa Islands,NA
LNOSESKA3CD,160851,Raja rhina,Longnose skate,Canada-DFO-WCVANI,Canada,DFO,WCVANI,West Coast of Vancouver Island,NA
LNOSESKA4B,160851,Raja rhina,Longnose skate,Canada-DFO-SOG,Canada,DFO,SOG,Strait of Georgia,NA
LNOSESKA5AB,160851,Raja rhina,Longnose skate,Canada-DFO-5AB,Canada,DFO,5AB,Queen Charlotte Sound,NA
LNOSESKA5CDE,160851,Raja rhina,Longnose skate,Canada-DFO-HS,Canada,DFO,HS,Hecate Strait,NA
LNOSESKAPCOAST,160851,Raja rhina,Longnose skate,USA-NMFS-PCOAST,USA,NMFS,PCOAST,Pacific Coast,NA
LNSNAPGM,168860,Lutjanus synagris,Lane snapper,USA-NMFS-GM,USA,NMFS,GM,Gulf of Mexico,NA
LOBSTERGB,97314,Homarus americanus,American lobster,USA-NMFS-5Z,USA,NMFS,5Z,Georges Bank,NA
LOBSTERGOM,97314,Homarus americanus,American lobster,USA-NMFS-5Y,USA,NMFS,5Y,Gulf of Maine,NA
LOBSTERLFA15-18,97314,Homarus americanus,American lobster,Canada-DFO-LFA15-18,Canada,DFO,LFA15-18,Quebec North Shore and Anticosti Island (LFA 15-18),NA
LOBSTERLFA19-21,97314,Homarus americanus,American lobster,Canada-DFO-LFA19-21,Canada,DFO,LFA19-21,Gaspe (LFA 19-21),NA
LOBSTERLFA22,97314,Homarus americanus,American lobster,Canada-DFO-LFA22,Canada,DFO,LFA22,Magdalen Islands (LFA 22),NA
LOBSTERLFA23-26AB,97314,Homarus americanus,American lobster,Canada-DFO-LFA23-26AB,Canada,DFO,LFA23-26AB,Southern Gulf of St. Lawrence,NA
LOBSTERLFA27-33,97314,Homarus americanus,American lobster,Canada-DFO-LFA27-33,Canada,DFO,LFA27-33,Atlantic Coast of Nova Scotia (LFA 27-33),NA
LOBSTERLFA3-14,97314,Homarus americanus,American lobster,Canada-DFO-LFA3-14,Canada,DFO,LFA3-14,Lobster Fishing Areas 3-14,NA
LOBSTERLFA34,97314,Homarus americanus,American lobster,Canada-DFO-LFA34,Canada,DFO,LFA34,Lobster Fishing Area 34,NA
LOBSTERLFA35-38,97314,Homarus americanus,American lobster,Canada-DFO-LFA35-38,Canada,DFO,LFA35-38,Lobster Fishing Areas 35-38,NA
LOBSTERLFA41,97314,Homarus americanus,American lobster,Canada-DFO-LFA41,Canada,DFO,LFA41,Lobster Fishing Area 41,NA
LOBSTERSNE,97314,Homarus americanus,American lobster,USA-NMFS-SNE,USA,NMFS,SNE,Southern New England,NA
LSDOGIIIa-IV-VIId,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-IIIa-IV-VIId,multinational,ICES,IIIa-IV-VIId,ICES 3a-4-7d,NA
LSDOGVIIIabd,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VIIIabd,multinational,ICES,VIIIabd,ICES 8abd,NA
LSDOGVIIIc-IXa,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VIIIc-IXa,multinational,ICES,VIIIc-IXa,ICES 8c-9a,NA
LSDOGVI-VIIabcefghij,160065,Scyliorhinus canicula,Lesser spotted dogfish,multinational-ICES-VI-VIIabcefghij,multinational,ICES,VI-VIIabcefghij,ICES 6-7abcefghij,NA
