stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
EBASSIVbc-VII,Dicentrarchus labrax,European seabass,European Union,170317,Other Marine,30,max reported,FishBase
EBASSVIIIab,Dicentrarchus labrax,European seabass,European Union,170317,Other Marine,30,max reported,FishBase
ESOLEPCOAST,Parophrys vetulus,English sole,US West Coast,172921,Flatfish,22,max reported,FishBase
FLSOLEBSAI,Hippoglossoides elassodon,Flathead sole,US Alaska,172875,Flatfish,27,max reported,FishBase
FLSOLEGA,Hippoglossoides elassodon,Flathead sole,US Alaska,172875,Flatfish,27,max reported,FishBase
FMEG8c9a,Lepidorhombus boscii,Fourspotted megrim,European Union,172834,Flatfish,11,max reported,Robson et al 200
GAGSATLC,Mycteroperca microlepis,Gag,US Southeast and Gulf,167759,Other Marine,31,max reported,FishBase
GEMFISHSE,Rexea solandri,Common gemfish,Australia,550883,Other Marine,16,max reported,FishBase
GHAL23KLMNO,Reinhardtius hippoglossoides,Greenland halibut,Canada East Coast,172930,Flatfish,30,max reported,FishBase
GHALBSAI,Reinhardtius hippoglossoides,Greenland halibut,US Alaska,172930,Flatfish,30,max reported,FishBase
GHALNEAR,Reinhardtius hippoglossoides,Greenland halibut,Europe non EU,172930,Flatfish,30,max reported,FishBase
GKCRABAIES,Lithodes aequispinus,Golden king crab,US Alaska,660179,Invertebrate,NA,NA,NA
GKCRABAIWS,Lithodes aequispinus,Golden king crab,US Alaska,660179,Invertebrate,NA,NA,NA
GOLDREDNEAR,Sebastes norvegicus,Golden redfish,Europe non EU,166781,Rockfish,60,max reported,FishBase
GOLDREDV-VI-XII-XIV,Sebastes norvegicus,Golden redfish,European Union,166781,Rockfish,60,max reported,FishBase
GOPHERSPCOAST,Sebastes carnatus,Gopher rockfish,US West Coast,166767,Rockfish,30,max reported,FishBase
GRAMBERGM,Seriola dumerili,Greater amberjack,US Southeast and Gulf,168689,Other Marine,15,max reported,FishBase
GRAMBERSATLC,Seriola dumerili,Greater amberjack,US Southeast and Gulf,168689,Other Marine,15,max reported,FishBase
