stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
ATHAL4RST, 172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-4RST,Atlantic halibut Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,NA,Current
ATHAL5YZ, 172933,Hippoglossus hippoglossus,Atlantic halibut,USA-NMFS-5YZ,Atlantic halibut Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,89173249-ebfc-379f-842d-067b13c502f4,0,NA,Current
ATKABSAI, 167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI,Atka mackerel Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,bdb5da5e-3344-33d4-8981-cc1e6fe3899c,0,NA,Current
ATKAGA, 167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-GA,Atka mackerel Gulf of Alaska,US Alaska,USA,67,USA,,0,NA,Current
ATLCROAKMATLC, 169283,Micropogonias undulatus,Atlantic croaker,USA-NMFS-MATLC,Atlantic croaker Mid-Atlantic Coast,US East Coast,USA,21,USA,65463bb0-8085-30e1-9f54-4ea3ffc5f252,0,,Current
ATOOTHFISHRS, 642808,Dissostichus mawsoni,Antarctic toothfish,multinational-CCAMLR-RS,Antarctic toothfish Ross Sea,Other,New Zealand,88,NZL,af92908a-31c9-307a-bcbe-46fe06b6840a,0,,Current
AUROCKPCOAST, 166709,Sebastes aurora,Aurora rockfish,USA-NMFS-PCOAST,Aurora rockfish Pacific Coast,US West Coast,USA,67,USA,a3305a81-6566-3d50-854b-bcf63609698a,0,NA,Current
AUSSALMONNZ, 168827,Arripis trutta,Australian salmon,New Zealand-MFish-NZ,Australian salmon New Zealand,New Zealand,New Zealand,81,NZL,bf6f2ccc-d721-3494-bd98-487252bf33b3,0,,Current
AWOLF5YZ, 171341,Anarhichas lupus,Atlantic wolffish,USA-NMFS-5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,4904601f-b752-3e5c-8ea1-255ff2b9227b,0,NA,Current
BCRABCHESB,  98696,Callinectes sapidus,Blue crab,USA-MDSTATE-CHESB,Blue crab Chesapeake Bay,US East Coast,USA,21,USA,b1f30d06-3a1a-38d6-bb99-302769b0e959,0,,Current
BCROAKCWAGIN-LBR, 646550,Pseudotolithus elongatus,Bobo croaker,multinational-FAO-CWAGIN-LBR,Bobo croaker Central West Africa Guinea-Liberia,West Africa,Guinea,34,GIN,,0,NA,Current
BERYXSPPNEATL, 166154,Beryx spp,Beryx spp,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Beryx spp Northeast Atlantic,European Union,Portugal,27,PRT,fe8af941-5b11-3b18-adcd-349c060cc787,0,NA,Current
BGRDRNSWWA, 623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-NSWWA,Blue grenadier New South Wales to Western Australia,Australia,Australia,57,AUS,35223738-69b6-3e44-ae15-4d4c062d75c5,0,NA,Current
BGRDRSE, 623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-SE,Blue grenadier Southeast Australia,Australia,Australia,81,AUS,,0,,Deprecated
BGROCKPCOAST, 166728,Sebastes melanostomus,Blackgill rockfish,USA-NMFS-PCOAST,Blackgill rockfish Pacific Coast,US West Coast,USA,77,USA,,0,,Current
BGRUNTCWACIV-BEN, 169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACIV-BEN,Bigeye grunt Central West Africa Cote Divoire-Benin,West Africa,Ghana,34,GHA,,0,NA,Current
BGRUNTCWACOG_AGO, 169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACOG_AGO,Bigeye grunt Central West Africa Congo_Angola,West Africa,Nigeria,34,NGA,,0,NA,Current
BHAKECWAAGO, 550664,Merluccius polli,Benguela hake,multinational-FAO-CWAAGO,Benguela hake Central West Africa Angola,West Africa,Angola,47,AGO,,0,NA,Current
BHEADSHARATL, 160502,Sphyrna tiburo,Bonnethead shark,USA-NMFS-ATL,Bonnethead shark Atlantic,US Southeast and Gulf,USA,31,USA,,0,NA,Current
BIGEYEATL, 172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Bigeye tuna Atlantic Ocean,Atlantic Ocean,Japan,34,JPN,33125035-6298-3226-bf49-b8bc4241929d,1,BIGEYEATLANTIC,Current
BIGEYECWPAC, 172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-CWPAC,Bigeye tuna Central Western Pacific Ocean,Pacific Ocean,Japan,71,JPN,,0,,Current
