stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
PATCODARGS, 550679,Salilota australis,Patagonian cod,Argentina-CFP-ARG-S,Patagonian cod Southern Argentina,South America,Argentina,41,ARG,,1,NA,Current
PATGRENADIERCH, 550662,Macruronus magellanicus,Patagonian grenadier,Chile-SUBPESCA-CH-CS,Patagonian grenadier Central-Southern Chile,South America,Chile,87,CHL,4876f0b2-d4e4-3dd6-9ddb-a522f4c1a36c,0,,Current
PATGRENADIERSARG, 550662,Macruronus magellanicus,Patagonian grenadier,Argentina-CFP-ARG-S,Patagonian grenadier Southern Argentina,South America,Argentina,41,ARG,,0,NA,Current
PAUANPAU5A,   -997,Haliotis iris,Paua,New Zealand-MFish-NPAU5A,Paua NZ Area North PAUA 5A,New Zealand,New Zealand,81,NZL,0bf989b6-b2d1-30d9-b87b-bbb049319350,0,,Current
PAUAPAU5B,   -997,Haliotis iris,Paua,New Zealand-MFish-PAU5B,Paua New Zealand Area PAU 5B (Stewart Island),New Zealand,New Zealand,81,NZL,a09713c9-8aae-3a67-aa12-303eb54160a4,0,,Current
PAUAPAU5D,   -997,Haliotis iris,Paua,New Zealand-MFish-PAU5D,Paua New Zealand Area PAU 5D (Otago),New Zealand,New Zealand,81,NZL,8870709c-1720-3fb8-84d9-72b826a77e30,0,,Current
PAUAPAU7,   -997,Haliotis iris,Paua,New Zealand-MFish-PAU7,Paua New Zealand Area PAU 7 (Marlborough),New Zealand,New Zealand,81,NZL,23dc9346-e568-3c2e-a7a5-59eabd25b2f4,0,,Current
PAUASPAU5A,   -997,Haliotis iris,Paua,New Zealand-MFish-SPAU5A,Paua NZ Area South PAUA 5A,New Zealand,New Zealand,81,NZL,8e6385d1-475b-3484-840d-831e1e509cb8,0,,Current
PCEELARGS, 165000,Genypterus blacodes,Pink cusk eel,Argentina-CFP-ARG-S,Pink cusk eel Southern Argentina,South America,Argentina,41,ARG,,0,NA,Current
PCEELCH, 165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH,Pink cusk eel Chile,South America,Chile,87,CHL,88af1c14-f962-335b-88be-5df4b9e030d7,0,NA,Deprecated
PCEELCSCH, 165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH-CS,Pink cusk eel Central-Southern Chile,South America,Chile,87,CHL,,0,NA,Current
PCEELSCH, 165000,Genypterus blacodes,Pink cusk eel,Chile-SUBPESCA-CH-S,Pink cusk eel Southern Chile,South America,Chile,87,CHL,51adec97-42cc-34ad-b341-ce36e1da1d38,0,NA,Current
PCOD5AB, 164711,Gadus macrocephalus,Pacific cod,Canada-DFO-5AB,Pacific cod Queen Charlotte Sound,Canada West Coast,Canada,67,CAN,41c8f08a-a59d-3d14-92ec-1f7367aaead1,0,NA,Deprecated
PCOD5ABCD, 164711,Gadus macrocephalus,Pacific cod,Canada-DFO-5ABCD,Pacific cod British Columbia Waters Area 5ABCD,Canada West Coast,Canada,67,CAN,,0,NA,Current
PCODAI, 164711,Gadus macrocephalus,Pacific cod,USA-NMFS-AI,Pacific cod Aleutian Islands,US Alaska,USA,67,USA,0369ea8d-f8f8-3907-8463-93fea62d7f45,0,NA,Current
PCODBS, 164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BS,Pacific cod Bering Sea,US Alaska,USA,67,USA,6fda0a30-9208-3ce9-be42-751fc855f5fc,0,NA,Current
PCODBSAI, 164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BSAI,Pacific cod Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,4ae87cc4-3bbf-3b94-a5e7-fd560b8523c5,0,NA,Deprecated
PCODGA, 164711,Gadus macrocephalus,Pacific cod,USA-NMFS-GA,Pacific cod Gulf of Alaska,US Alaska,USA,67,USA,20f83ad0-b39c-3fca-bfdd-f21ed9b332b4,1,PCODGA,Current
PCODHOKK, 164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-HOKK,Pacific cod Hokkaido,Japan,Japan,61,JPN,c66bfbe7-e088-3d2a-978f-e00c9bcac95f,0,NA,Current
PCODHS, 164711,Gadus macrocephalus,Pacific cod,Canada-DFO-HS,Pacific cod Hecate Strait,Canada West Coast,Canada,67,CAN,3af00e99-c5f2-343f-9054-d52c8e851d50,1,PCODHS,Deprecated
PCODNPAC, 164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-NPAC,Pacific cod North Pacific,Japan,Japan,61,JPN,2d40d505-2c3f-3751-9785-e5d9c25b176c,0,NA,Current
PCODSOJ, 164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-SOJ,Pacific cod Sea of Japan,Japan,Japan,61,JPN,73b19515-995f-3589-ae45-286cc7201404,0,NA,Current
PCODWCVANI, 164711,Gadus macrocephalus,Pacific cod,Canada-DFO-WCVANI,Pacific cod West Coast of Vancouver Island,Canada West Coast,Canada,67,CAN,28a6ff08-92f9-3f40-83be-8cde39fd44ab,1,PCOWCVANI,Current
PERCHEBSAI, 166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-EBSAI,Pacific ocean perch Eastern Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,,1,PERCHALI,Current
PERCHQCI, 166707,Sebastes alutus,Pacific ocean perch,Canada-DFO-HG,Pacific ocean perch Haida Gwaii,Canada West Coast,Canada,67,CAN,,0,NA,Current
PERCHWCVANI, 166707,Sebastes alutus,Pacific ocean perch,Canada-DFO-WCVANI,Pacific ocean perch West Coast of Vancouver Island,Canada West Coast,Canada,67,CAN,,0,NA,Current
PGEODWA,  81777,Panopea generosa,Pacific geoduck,USA-WASTATE-WA,Pacific geoduck Washington,US West Coast,USA,67,USA,d1a31806-22c4-3fc3-bb8e-97e4d2bcdaeb,0,,Current
PHAKEPCOAST, 164792,Merluccius productus,Pacific hake,USA-NMFS-PCOAST,Pacific hake Pacific Coast,US West Coast,USA,67,USA,,1,PHAKEVANCON,Current
PHALNPAC, 172932,Hippoglossus stenolepis,Pacific halibut,multinational-IPHC-NPAC,Pacific halibut North Pacific,US Alaska,USA,67,USA,,1,PHALCANUS,Current
PHFLOUNNHOKK, 172966,Cleisthenes herzensteini,Pointhead flounder,Japan-FAJ-NHOKK,Pointhead flounder North coast of Hokkaido,Japan,Japan,61,JPN,48523ebe-69b1-3436-8105-bdf60bc3f062,0,NA,Current
PHFLOUNSOJ, 172966,Cleisthenes herzensteini,Pointhead flounder,Japan-FAJ-SOJ,Pointhead flounder Sea of Japan,Japan,Japan,61,JPN,d76b0d90-744a-37f7-9923-0a52bac25d51,0,NA,Current
PICAMEDGSA25, 647991,Spicara smaris,Picarel,multinational-GFCM-GSA25,Picarel Cyprus Island,Mediterranean-Black Sea,Cyprus,37,CYP,7e8d0a2e-3fba-3710-a846-4a60103ed7fc,0,NA,Current
PILCHPJPN, 551222,Sardinops melanostictus,Japanese sardine,Japan-FAJ-PJPN,Japanese sardine Pacific Coast of Japan,Japan,Japan,61,JPN,0305221f-94fd-33ac-93b8-b9a1c932b600,0,NA,Current
PILCHTSST, 551222,Sardinops melanostictus,Japanese sardine,Japan-FAJ-TSST,Japanese sardine Tsushima Strait,Japan,Japan,61,JPN,2bc9fcda-8ec8-3485-bc15-1c46dfa399f1,0,,Current
PINKSHRIMPGM, 551574,Farfantepenaeus duorarum,Pink shrimp,USA-NMFS-GM,Pink shrimp Gulf of Mexico,US Southeast and Gulf,USA,31,USA,59402281-cb8f-388e-873d-4e8348926f9c,0,NA,Current
PLAIC2123, 172902,Pleuronectes platessa,European plaice,multinational-ICES-2123,European plaice Subdivisions 21-23,European Union,Denmark,27,DNK,,0,NA,Current
PLAIC2432, 172902,Pleuronectes platessa,European plaice,multinational-ICES-2432,European plaice Subdivisions 24-32,European Union,Denmark,27,DNK,,0,NA,Current
PLAIC7d, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIId,European plaice Eastern English Channel,European Union,France,27,FRA,22732ff0-0fcd-3836-a1ff-4f556ff1d4c3,1,PLAIC7d,Current
PLAICCELT, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIf-g,European plaice Celtic Sea,European Union,Belgium,27,BEL,507adcc7-04b6-3026-9176-dd29ca226129,0,NA,Current
PLAICECHW, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIe,European plaice Western English Channel,European Union,Great Britain,27,GBR,2ef2937c-a010-3527-8b4d-e9da8a6b9254,0,NA,Current
PLAICIIIa, 172902,Pleuronectes platessa,European plaice,multinational-ICES-IIIa,European plaice Kattegat and Skagerrak,European Union,Denmark,27,DNK,94d3f0f1-a9d5-3d62-9bc1-7a5451e5347b,1,PLAICIIIa,Deprecated
PLAICIS, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIa,European plaice Irish Sea,European Union,Great Britain,27,GBR,232bc44b-a544-39b0-8b38-abf7f6adafd5,1,PLAICIS,Current
PLAICNS, 172902,Pleuronectes platessa,European plaice,multinational-ICES-IV,European plaice North Sea,European Union,Netherlands,27,NLD,,1,PLAICNS,Current
PLAICVIIbc, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIbc,European plaice ICES 7bc,European Union,Ireland,27,IRL,cd4a6dcc-3779-3d91-843d-79066197cabd,0,NA,Current
PLAICVIIh-k, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIh-k,European plaice ICES 7h-k,European Union,France,27,FRA,420f0a98-70ea-3a86-b66a-eec2d0f63f70,0,NA,Current
PLAICVIII-IXa, 172902,Pleuronectes platessa,European plaice,multinational-ICES-VIII-IXa,European plaice ICES 8-9a,European Union,France,27,FRA,,0,NA,Current
POLL3Ps, 164727,Pollachius virens,Pollock,Canada-DFO-3Ps,Pollock St. Pierre Bank,Canada East Coast,Canada,21,CAN,,0,NA,Current
POLL4VWX, 164727,Pollachius virens,Pollock,Canada-DFO-4VWX,Pollock Scotian Shelf and Bay of Fundy,Canada East Coast,Canada,21,CAN,d84fb571-8fd6-309e-a5da-5d7d95c77a43,0,NA,Current
POLL4VWX5, 164727,Pollachius virens,Pollock,Canada-DFO-4VWX5,"Pollock Scotian Shelf, Bay of Fundy and Georges Bank",Canada East Coast,Canada,21,CAN,6e163131-caed-3452-ae04-58d3f2c2767a,1,POLL4VWX5,Deprecated
POLL5YZ, 164727,Pollachius virens,Pollock,USA-NMFS-5YZ,Pollock Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,e475fd3c-e342-3e1f-9171-cedabe8022b3,0,NA,Current
POLLFAPL, 164727,Pollachius virens,Pollock,multinational-ICES-Vb1,Pollock Faroe Plateau,Europe non EU,Faroe Islands,27,FRO,,1,POLLFA,Current
POLLIEG, 164727,Pollachius virens,Pollock,multinational-ICES-Va,Pollock Iceland Grounds,Europe non EU,Iceland,27,ISL,d19228d3-4fad-3a25-8ad5-263b8ecdee09,0,,Current
POLLNEAR, 164727,Pollachius virens,Pollock,multinational-ICES-I-II,Pollock North-East Arctic,Europe non EU,Norway,27,NOR,aace398d-553d-304f-8d4d-9c7bdd7dd29f,1,POLLNEAR,Current
POLLNS-VI-IIIa, 164727,Pollachius virens,Pollock,multinational-ICES-IIIa-IV-VI,Pollock ICES 3a-4-6,European Union,Iceland,27,ISL,9d69246f-bf80-32ff-9087-01c56affb104,1,POLLNS,Current
POPERCHGA, 166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-GA,Pacific ocean perch Gulf of Alaska,US Alaska,USA,67,USA,,1,PERCHGA,Current
POPERCHPCOAST, 166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-PCOAST,Pacific ocean perch Pacific Coast,US West Coast,USA,67,USA,,1,PERCHWUS,Current
PORSHARATL, 159911,Lamna nasus,Porbeagle shark,Canada-DFO-ATL,Porbeagle shark Canadian Atlantic Ocean,Canada East Coast,Canada,21,CAN,,0,NA,Current
PORSHARNEATL, 159911,Lamna nasus,Porbeagle shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Porbeagle shark Northeast Atlantic,European Union,France,27,FRA,,0,NA,Current
PRCODMEDGSA9, 164754,Trisopterus minutus,Poor cod,multinational-GFCM-GSA9,Poor cod Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,cd9a6668-c39c-3f63-8950-c5081afa07a2,0,NA,Current
PSALMA1, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A1,Pink salmon Area 1,Canada West Coast (Pacific Salmon),Canada, 2,CAN,5837a8a1-8a67-390c-a66d-6900ffa8e2aa,0,,Current
PSALMA10, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A10,Pink salmon Area 10,Canada West Coast (Pacific Salmon),Canada, 2,CAN,7a808508-ef67-3e49-8a91-6de8059a0692,0,,Current
PSALMA12, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A12,Pink salmon Area 12,Canada West Coast (Pacific Salmon),Canada, 2,CAN,b604da2e-ca1d-348e-9b01-88dd613ec06f,0,,Current
PSALMA13, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A13,Pink salmon Area 13,Canada West Coast (Pacific Salmon),Canada, 2,CAN,ac0400fd-47df-3593-bd06-a73eba1d7f03,0,,Current
PSALMA21-27, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A21-27,Pink salmon Area21-27,Canada West Coast (Pacific Salmon),Canada, 2,CAN,414d3b85-2072-3ddf-ae1d-abd3acf30901,0,,Current
PSALMA2E, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A2E,Pink salmon Area 2E,Canada West Coast (Pacific Salmon),Canada, 2,CAN,9aa1c377-471b-3385-9727-865bf0ae7e44,0,,Current
PSALMA2W, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A2W,Pink salmon Area 2W,Canada West Coast (Pacific Salmon),Canada, 2,CAN,a8790088-0a88-3a6a-96aa-dbc4b2774346,0,,Current
PSALMA3, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A3,Pink salmon Area 3,Canada West Coast (Pacific Salmon),Canada, 2,CAN,c719d339-aa60-3b08-b562-e279fb634c9e,0,,Current
PSALMA4, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A4,Pink salmon Area 4,Canada West Coast (Pacific Salmon),Canada, 2,CAN,1d73f5ee-3b32-3fc5-80fb-c291283e1187,0,,Current
PSALMA5, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A5,Pink salmon Area 5,Canada West Coast (Pacific Salmon),Canada, 2,CAN,191d333b-15c5-38f7-b1bc-e3dd829e4e4a,0,,Current
PSALMA6, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A6,Pink salmon Area 6,Canada West Coast (Pacific Salmon),Canada, 2,CAN,a9b8770a-f306-3b27-ad90-7f23ae887d8a,0,,Current
PSALMA7, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A7,Pink salmon Area 7,Canada West Coast (Pacific Salmon),Canada, 2,CAN,4f08482c-e146-3d2e-a8d8-9699ead04d5c,0,,Current
PSALMA8, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A8,Pink salmon Area 8,Canada West Coast (Pacific Salmon),Canada, 2,CAN,fe79449c-a602-321d-b1e0-0d7e24fa3c26,0,,Current
PSALMA9, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A9,Pink salmon Area 9,Canada West Coast (Pacific Salmon),Canada, 2,CAN,0a23335c-83f1-3d65-9b81-f4736b294e2b,0,,Current
PSALMAFFLECKCI, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AFFLECKCI,Pink salmon Affleck Cl (District105),US Alaska (Pacific Salmon),USA, 2,USA,46621eeb-27e5-3a74-8292-4fdb25ff8d12,0,,Current
PSALMAFOGNAKD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AFOGNAKD,Pink salmon Afognak District,US Alaska (Pacific Salmon),USA, 2,USA,4db72175-b91a-3e8a-a0a2-b5b0ec79f642,0,,Current
PSALMAIALIKL, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AIALIKL,Pink salmon Aialik Lagoon (Eastern D),US Alaska (Pacific Salmon),USA, 2,USA,ba73ae2f-de7a-30e9-86de-a9fce25ccb3a,0,,Current
PSALMAKPNWD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPNWD,Pink salmon AK Pen Northwestern District,US Alaska (Pacific Salmon),USA, 2,USA,a0392089-4cd4-35a4-8812-872bfdf4cb86,0,,Current
PSALMAKPSESCD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPSESCD,Pink salmon AK Pen Southeastern and South-central Districts,US Alaska (Pacific Salmon),USA, 2,USA,5783c281-b9d4-3dec-892c-b136a85098b7,0,,Current
PSALMAKPSWUD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPSWUD,Pink salmon AK Pen Southwestern and Unimak Districts,US Alaska (Pacific Salmon),USA, 2,USA,4b2e33d6-3b37-3a0b-924d-9d64ae0f8773,0,,Current
PSALMALITAKD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ALITAKD,Pink salmon Alitak District,US Alaska (Pacific Salmon),USA, 2,USA,8d83e26a-81d7-3b32-828e-92edccbb9d42,0,,Current
PSALMAMAKC, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AMAKC,Pink salmon Amakdedori Creek (Kamishak D),US Alaska (Pacific Salmon),USA, 2,USA,4e6033c3-976a-3a2a-aa66-685dc0124777,0,,Current
PSALMAMURPW, 161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-AMURPW,Pink salmon Amur pink wild,Russia Japan (Pacific Salmon),Russia, 5,RUS,22b1e697-fd13-320e-85d8-aa58cb4141e2,0,,Current
PSALMANADYRPW, 161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ANADYRPW,Pink salmon Anadyr pink wild,Russia Japan (Pacific Salmon),Russia, 5,RUS,a6afb31d-bd00-3f7e-9ec4-f7b787fcd5f5,0,,Current
PSALMANAN, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ANAN,Pink salmon Anan (District107),US Alaska (Pacific Salmon),USA, 2,USA,9324d5ef-5935-3fdd-9810-8e4710b96f50,0,,Current
PSALMATNARKO, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-ATNARKO,Pink salmon Atnarko (Area 8),Canada West Coast (Pacific Salmon),Canada, 2,CAN,097bb9a2-ea21-34f9-bfb5-a5810f078f56,0,,Current
PSALMAUKEC, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AUKEC,Pink salmon Auke Creek (Northern Inside),US Alaska (Pacific Salmon),USA, 2,USA,ad21dd51-1053-31e5-96ed-cbe957c544b4,0,,Current
PSALMBARABARA, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BARABARA,Pink salmon Barabara (Southern D),US Alaska (Pacific Salmon),USA, 2,USA,e024a09b-7ae9-3c4e-b710-db08efcead09,0,,Current
PSALMBARANOFE, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BARANOFE,Pink salmon Baranof E (District109),US Alaska (Pacific Salmon),USA, 2,USA,b0a9fefe-9f47-3c11-b0b9-029fc4e8de0e,0,,Current
PSALMBKAMISHAKR, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BKAMISHAKR,Pink salmon Big Kamishak River  (Kamishak D),US Alaska (Pacific Salmon),USA, 2,USA,69d8ab2c-0507-3afd-bc21-9ae72b7c44d9,0,,Current
PSALMBONDS, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BONDS,Pink salmon BondSound (Area 12),Canada West Coast (Pacific Salmon),Canada, 2,CAN,628f4926-682b-369c-abda-2db8be047ae8,0,,Current
PSALMBRUINR, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BRUINR,Pink salmon Bruin River,US Alaska (Pacific Salmon),USA, 2,USA,421e105f-0147-3680-b24f-c9fb422a454e,0,,Current
PSALMBURNETT, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BURNETT,Pink salmon Burnett (District106),US Alaska (Pacific Salmon),USA, 2,USA,d0578561-a8fe-3136-bf69-ef67b29ca07a,0,,Current
PSALMBURR, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BURR,Pink salmon Burrard,Canada West Coast (Pacific Salmon),Canada, 2,CAN,4cba944f-5c9b-3bb7-8407-bf2546e70269,0,,Current
PSALMBUTEI, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BUTEI,Pink salmon Bute Inlt (Area 13),Canada West Coast (Pacific Salmon),Canada, 2,CAN,ad22980b-ee15-35dd-ad03-75f5b91588b3,0,,Current
PSALMBWLAB, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BWLAB,Pink salmon BetwLoandBte (Area 13),Canada West Coast (Pacific Salmon),Canada, 2,CAN,31ab8f4f-3bfc-35ae-82d8-f7d558e5820b,0,,Current
PSALMCHIGNIKBD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKBD,Pink salmon Chignik Bay District,US Alaska (Pacific Salmon),USA, 2,USA,7d1f957b-cf05-373b-8d1b-ecfef8697c6a,0,,Current
PSALMCHIGNIKCD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKCD,Pink salmon Chignik Central District,US Alaska (Pacific Salmon),USA, 2,USA,694d0bb6-4024-3eb0-a85b-57d594356563,0,,Current
PSALMCHIGNIKED, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKED,Pink salmon Chignik Eastern District,US Alaska (Pacific Salmon),USA, 2,USA,47f04322-fdd1-3d97-8ec6-88790983bae9,0,,Current
PSALMCHIGNIKWD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKWD,Pink salmon Chignik Western District,US Alaska (Pacific Salmon),USA, 2,USA,af399329-1d7a-3467-9bf0-0322e3160040,0,,Current
PSALMCHINAP, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHINAP,Pink salmon China Poot (Southern D),US Alaska (Pacific Salmon),USA, 2,USA,a7690834-3025-3e51-bf0f-7e5796535665,0,,Current
PSALMCHV, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-CHV,Pink salmon Ch/Vedder,Canada West Coast (Pacific Salmon),Canada, 2,CAN,092abe4e-2f37-34e8-b6ae-b43fc8f19ecd,0,,Current
PSALMCOGHILLD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-COGHILLD,Pink salmon Coghill District,US Alaska (Pacific Salmon),USA, 2,USA,94557727-b5ed-3011-95e2-1b79ce78a2da,0,,Current
PSALMDOGFISH, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-DOGFISH,Pink salmon Dogfish (Southern D),US Alaska (Pacific Salmon),USA, 2,USA,c830db45-1c99-3f7f-b2bf-5db1825e35b3,0,,Current
PSALMDOSEWHC, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DOSEWHC,Pink salmon Dosewallips (Hood Canal),US West Coast (Pacific Salmon),USA, 2,USA,2afd7c65-a60d-306d-a499-23be987cdd7b,0,,Current
PSALMDUCKA, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DUCKA,Pink salmon Duckabush (Hood Canal),US West Coast (Pacific Salmon),USA, 2,USA,69d4e56a-3144-3266-a838-39e27d4a4e16,0,,Current
PSALMDUNGENHC, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DUNGENHC,Pink salmon Dungeness (Juan de Fuca),US West Coast (Pacific Salmon),USA, 2,USA,b7dc7183-b134-3c32-a69b-37ace78353b5,0,,Current
PSALMEBEHM, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-EBEHM,Pink salmon EBehm (District 101),US Alaska (Pacific Salmon),USA, 2,USA,7a01b04b-a3ec-389f-b428-1d4af5bfaea4,0,,Current
PSALMEDALL, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-EDALL,Pink salmon EDall (District103),US Alaska (Pacific Salmon),USA, 2,USA,43813524-a864-38c0-bdfb-0489019a841d,0,,Current
PSALMEKAMPW, 161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-EKAMPW,Pink salmon East Kamchatka pink wild,Russia Japan (Pacific Salmon),Russia, 5,RUS,5924fbb9-e89a-3dc5-aa5d-1e1d6e0736fa,0,,Current
PSALMELIZAH, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ELIZAH,Pink salmon Eliza Hbr (District109),US Alaska (Pacific Salmon),USA, 2,USA,24df9ddc-e107-347e-bc71-3cfc0e82efae,0,,Current
PSALMESAKPH, 161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ESAKPH,Pink salmon East Sakhalin pink hatchery,Russia Japan (Pacific Salmon),Russia, 5,RUS,71bc741f-9cfa-3e52-be28-0af259566bc7,0,,Current
PSALMESAKPW, 161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ESAKPW,Pink salmon East Sakhalin pink wild,Russia Japan (Pacific Salmon),Russia, 5,RUS,ccdde1c2-50df-36a2-a179-7178537f6d2f,0,,Current
PSALMESHAMYD, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ESHAMYD,Pink salmon Eshamy District,US Alaska (Pacific Salmon),USA, 2,USA,e3c9e2f6-a318-360e-94b3-c932b27a3c72,0,,Current
PSALMESND, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ESND,Pink salmon Eastside-Northend District,US Alaska (Pacific Salmon),USA, 2,USA,ccdb3b1c-61bf-3619-82fc-3dc8084f2b42,0,,Current
PSALMFARRAGUT, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-FARRAGUT,Pink salmon Farragut (District110),US Alaska (Pacific Salmon),USA, 2,USA,545d1c69-a826-3c69-8921-264d2c6c4112,0,,Current
PSALMFRESHWB, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-FRESHWB,Pink salmon Freshw By (District112),US Alaska (Pacific Salmon),USA, 2,USA,f890c9a9-f72d-3aa4-b2ce-624d7aae8067,0,,Current
PSALMGEOHOWE, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-GEOHOWE,Pink salmon GeorgiaHowe (Area 16),Canada West Coast (Pacific Salmon),Canada, 2,CAN,cf150783-1967-3447-8e77-4a56e584680d,0,,Current
PSALMGOLOVIN, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-GOLOVIN,Pink salmon Golovin,US Alaska (Pacific Salmon),USA, 2,USA,76cd15f1-6763-3162-b284-f103a1364932,0,,Current
PSALMHARR, 161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-HARR,Pink salmon Harrison,Canada West Coast (Pacific Salmon),Canada, 2,CAN,d13c2e6b-6ffd-334a-b508-fcb010433b2c,0,,Current
PSALMHETTA, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HETTA,Pink salmon Hetta (District103),US Alaska (Pacific Salmon),USA, 2,USA,20236b69-e369-34f5-8e12-550ba6da5ec1,0,,Current
PSALMHHAMMAHC, 161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-HHAMMAHC,Pink salmon Hamma Hamma (Hood Canal),US West Coast (Pacific Salmon),USA, 2,USA,af55355b-15cc-38f6-aede-90352136b7c7,0,,Current
