"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc","min_model","rel_likelihood"
"42","SNROCKPCOAST",0.0336284452192744,4.4737543865721e-10,-16.6379722319182,1419.44735953391,0.000111186154366064,-10.3539244172871,"ricker",0.958593288626599
"43","SOLENS",8050.05603987315,2.33480769893661e-05,-33.571988357023,120049776.262726,1.05051286788752,-30.3139404212148,"ricker",0.836035888290661
"44","SSALMCHIGNIKL",5.85184359743087,2.17071692476987e-06,-107.229319841157,80.2458740899415,9.17325896668809e-05,-103.974991616983,"ricker",0.835780780111626
"45","SSALMCHILKATL",8.25888327508541,1.26199216892028e-05,-22.4422388460622,4362794.95898548,23.0706218653744,-18.328118497279,"ricker",0.886659068502358
"46","SSALMHARRISON",9.32391639293148,7.57291651897221e-05,-19.3502744146181,16.4160499965501,0.000393275953713571,-15.5992329271041,"ricker",0.867095782143025
"47","SSALMNUSHAGAK",3.81190679421222,7.56116311489207e-07,-44.3694752545265,4.0538170578131,1.26321998121122e-06,-39.8691669917917,"ricker",0.904663829326638
"48","STFLOUNSPCOAST",5460970.80568346,0.00157545835242504,-8.49129502312248,431706886847.017,579.368655321236,-0.332171097838619,"ricker",0.983366480499554
"49","TANNERCRABBSAI",26065.1319401807,4.57183480430325e-05,-24.7737028719007,4015579584.40138,31.5457322318177,-9.36403585419967,"ricker",0.999549559268451
"50","TILEGM",101955.027850759,0.10030285647827,-91.7890113706834,1368802865.97558,5758.94544154689,-71.4188019967257,"ricker",0.999962273297096
"51","WHITVIa",8158.51746114675,1.07318529881438e-05,-57.6902265026824,8052.20787314642,1.30942962981995e-05,-54.5471187578773,"ricker",0.828005012249158
"52","WINFLOUN4T",52.4399758822672,6.14042631350913e-06,-43.4537597636602,6378376.22918758,2.67932693418105,-34.9324791410717,"ricker",0.986083149530848
"53","WITFLOUN4RST",9.27482081407428,0.000176696073377235,-52.8257079881543,1534539.54948741,94.9921770361392,-41.7101207763563,"ricker",0.996157543730542
"54","WITFLOUN5Y",3411.15672349573,0.000147550603834209,-43.5701914914432,9076.37372789098,0.00102523657799317,-41.0711274580868,"ricker",0.777218840508741
"55","WPOLLEBS",44563911.6719493,6.67912466342856e-07,-67.1023027048299,348664923885.584,0.0181643513253164,-61.886001237006,"ricker",0.931384308395633
