"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc"
"74","CODNEAR",2.74413716658164,1.1853461159545e-06,-62.4375631057149,5.56883475762319,7.05958673445558e-06,-58.7099693872587
"75","CODVIa",853.692394656184,9.90960898569024e-06,-35.6932795739813,860.655816547501,1.18666055632759e-05,-35.6840448259524
"76","CODVIIek",600.609682384922,3.16288781547788e-05,-15.9758408081903,649.659885050027,5.01516080885109e-05,-16.0009467132158
"77","CROCKPCOAST",0.00191104560210974,2.80057149111245e-10,-94.1317401893314,0.00477547620705174,1.69592653715184e-09,-97.1947318594318
"78","CSALMANDREAR",2.09859847137167,2.72559064004358e-06,-14.920301815264,116.418660301016,0.000501267955091966,-18.197458657196
"79","CSALMANVIKR",3.09278722297377,1.01830079129831e-06,-27.312049760726,5.62583401774664,4.25878186833175e-06,-27.9962762847631
"80","CSALMHOODC",9.91752050995155,2.37808872338514e-05,-12.0202878787253,5643185.09664422,43.964638961017,-18.9693600604166
"81","CSALMISCFPM",2.31623584647443,2.98385404363239e-07,-39.2898218882306,2.36884965297271,3.90520609670189e-07,-39.0756889920009
"82","CSALMKTRNS",3.25281369383349,1.76059106397079e-05,-17.8919278283381,728560.948681822,13.0717011861389,-23.422440441131
"83","CSALMNSR",3.80715516757386,1.69769810566649e-05,-31.5475471801275,4.61400430134198,3.6460761705365e-05,-32.2705316726364
"84","CSALMSKAGR",2.19559156276238,2.97695986428264e-06,-21.7619876166923,2.30295249336686,4.45551314991078e-06,-21.9230716699486
"85","CSALMSSOUNDFR",6.97260185650456,1.01620328044992e-05,-23.9231638022803,16.638352900173,6.10251693820213e-05,-25.019801473709
"86","CSALMSSOUNDSR",4.71712400679782,4.05311496523575e-05,-0.57753215733606,6.82239250606815,0.00013615911417426,-1.25644873454098
"87","CSALMSSOUNDWR",5.91603185371369,4.0246599897191e-05,-30.637073086843,98.1230980339639,0.00199275116985872,-29.8336430930564
"88","CSALMSSR",2.58389184796518,3.83886317641104e-06,-21.3881680049615,2.62189844832994,4.8836449379255e-06,-21.3100567617815
"89","CSALMWILLB",2.54111030654952,1.20608461379272e-05,-6.87396273775422,3.08962000037879,2.66723857351737e-05,-7.09733397760384
"90","CSALMYUKONRFR",3.22461702971919,1.24729946180281e-06,-35.8950951426812,6.51728888376076,6.08058112933141e-06,-36.8298934042481
"91","CSARDCSCH",0.491215053591365,9.96330525134204e-07,-18.9845337547545,0.810838929007674,3.87426538261926e-06,-19.820883017603
"92","CUSKVa.XIV",2719.54816315205,0.00011635750954182,-37.2300377072868,82361295.2940481,10.0784626008571,-37.6012098886473
"93","DEEPCHAKESA",76905.9307436056,7.40275713515939e-06,-90.7021009776981,414617814.765911,0.113699854746819,-92.3038670481794
"94","DEEPFLATHEADSE",2153957746.7801,0.000110121525796308,-94.3045534696591,5012584768.31655,0.00060420940555532,-94.7646670445489
"95","DKROCKPCOAST",0.00304431296789054,5.18620931517661e-10,-35.3971619060465,0.00744258097466304,3.16799022742928e-09,-37.2962813653931
"96","DSOLEGA",438.469469463478,2.18387910330932e-06,-45.1723114739992,438.790962684199,2.32062110914811e-06,-45.1719254750331
"97","DUSROCKGA",887.719427129306,6.30398859040935e-05,-33.5625479308693,4924.02465124735,0.000933535740440804,-32.4978062553401
"98","EBASSIVbc.VII",5857.83822438748,0.000101723577887128,1.14844510169921,57296195.9165629,3.57693857057713,2.58144414174479
"99","EBASSVIIIab",7504.38470527233,8.76431165574279e-05,-51.8918664364894,31848969.2648802,1.30108922520181,-51.055200038239
"100","ESOLEPCOAST",14581.4848532534,4.16362257476884e-05,-121.030935281621,33547.190414791,0.000237171653006406,-122.207448425125
"101","FLSOLEBSAI",28000.1020884029,9.6589041861737e-06,-70.0055061548303,755486270.041593,0.826422465153805,-68.2660197769591
"102","FLSOLEGA",10003.980206191,1.12610583642735e-05,-99.6597754790529,18644.7759216555,4.46700490140306e-05,-99.8553147442498
"103","FMEG8c9a",13471.0040324798,7.28188208099956e-05,-78.4146984132411,15040.9130903271,0.000122242187148558,-78.5133044232864
"104","GAGSATLC",668.6818237844,0.000521753437885558,-55.4404714815605,57763554.58774,134.583986029492,-54.4214873361597
"105","GEMFISHNZ",393.594874038393,8.19455300126074e-05,-6.16942821660096,479.705858219742,0.000169133288110409,-6.15635629213997
"106","GEMFISHSE",1715.20448152484,-1.5768182356673e-05,-31.2384553744954,1722.3835593164,-1.40728136780783e-05,-31.2305228442406
"107","GHAL23KLMNO",31333.0365669831,8.60933276838768e-05,-95.1942682205989,54455.4154526099,0.000354116658371746,-78.3439387508425
"108","GHALBSAI",171.569837043956,4.29755044470561e-06,68.909972789451,284.870211172233,1.72841187922964e-05,67.8203251537454
"109","GHALNEAR",8690.59914770902,9.67685242265075e-06,42.8948446743735,43751824.1114783,3.08539077665654,46.1962901994184
"110","GKCRABAIES",584.114442890158,6.45999710679587e-05,-61.0872141260483,882.15823349102,0.000194025372482222,-62.0236572909322
"111","GKCRABAIWS",740.931399806292,0.000120487504193115,-90.6339479804161,1887.41845770183,0.000736090726698257,-93.1398917638437
"112","GOLDREDNEAR",2.05202764744531,-2.50368492479523e-05,0.245222353342131,3.90800362669275,-9.19121731342405e-06,0.564881147076357
"113","GOLDREDV.VI.XII.XIV",1106.88144164255,3.90476537103161e-06,-41.1387954622624,17909763.6626779,0.186295777060103,-41.9863910094785
"114","GOPHERSPCOAST",8.28949253550996,0.000898473278503618,-44.6791754901714,953997.629483207,315.498068605154,-42.019566476933
"115","GRAMBERGM",1712.16217793215,0.000246825354875715,-60.8282314885403,2907.67681410787,0.00109196783751498,-59.610548083185
"116","GRAMBERSATLC",379.469927205382,0.000334602671770706,-32.4867049125206,18690932.0701912,47.2265475665256,-33.2999017553994
"117","GRNSTROCKPCOAST",5.70138264254793e-06,1.62328733202544e-10,-28.5694189266753,2.52803530545815e-05,1.80284328964191e-09,-28.6179960756071
"118","GRSNAPGM",4474.60234287575,0.000203304604281285,-8.78546733476022,9704678456923.78,1277273.44629143,-8.96020150871374
"119","GSTRGZRSTA7",1288.37724350397,0.000337995815787412,-49.3610395194743,126811244.19565,121.928500133804,-34.1533894329199
"120","GTRIGGM",0.00105500026398895,6.9982079326322e-12,-94.9081272391996,0.00104936558659178,6.76984759791127e-12,-94.8652128733836
"121","HAD4X5Y",6016.94752823268,6.73141844392259e-05,-16.3669776250027,432917543.184137,21.2508080444813,-11.3258284166807
"122","HAD5Y",638.073867112172,8.63247619974571e-05,25.3283802211122,1049.2913472431,0.000355271018524179,24.190755035093
"123","HADFAPL",1574.61969303848,2.75928464003963e-05,7.39304131098129,1994.99596989448,8.17666332976948e-05,12.3202684377971
"124","HADGB",427.800051375067,1.0116182638199e-05,48.090671267066,1027.53797258252,6.95979849327439e-05,47.237789223831
"125","HADICE",1.83798630405235,1.17302904341128e-05,-18.5010673119439,57.503472431008,0.00105113206507895,-19.8646752311087
"126","HADIS",108372.381604808,3.18502481680075e-05,-14.60880329224,109011.015048225,3.62583153876088e-05,-14.5930737615674
"127","HADNEAR",1497.15624542058,2.19656750222316e-06,11.5860977773101,1608.14214750608,3.59854447535312e-06,12.3148271717059
"128","HADNS.IIIa.VIa",77668.6616025406,5.37123695441632e-06,33.1046234650541,3085980911.96873,0.660606020975927,32.0095132387189
"129","HADROCK",2775.77359082328,3.21045827896512e-05,24.8607821089917,21563.7081413897,0.000851984373658775,24.0146134907345
"130","HADVIIb.k",45494.1460876557,5.0626306606041e-05,-10.5323296437285,3696707888.16937,14.590513350429,-4.89821346334824
"131","HAKENRTN",11550.2081149032,8.85654319579868e-06,-70.9095001162867,83454.2382593518,0.000232438634864518,-76.6920019910079
"132","HAKESOTH",13216.105832718,5.41536151460571e-05,-91.2149736951682,215868864.027839,2.86692635396096,-91.0918663759842
"133","HAKESPPSAF",15329.2239941304,1.48355100453344e-07,-107.509755437571,16616.5137514145,2.57418938742648e-07,-107.800426015858
"134","HERR2224IIIa",18214.3759432401,3.4562194208275e-07,-60.1055268111578,18131.5200648037,3.18776521346075e-07,-60.090586546235
"135","HERR2529.32",38820.2183196029,7.75781065596995e-07,-96.0441780914194,63630.8019380651,2.69935852768879e-06,-96.3802366743758
"136","HERR30.31",16310.7072161516,6.24353888256112e-07,-60.8525861491729,16855.5106709258,8.23100159133593e-07,-60.8759344906956
"137","HERR4RFA",8140.17208111803,3.70481420480775e-05,-15.4547028154142,572475597.664821,10.7815972332928,-7.85934944654222
"138","HERR4RSP",4450.4217827293,2.1298145513315e-05,3.41045042976369,24230552642892.6,384973.856583688,5.57769943625123
"139","HERR4TFA",6245.74737267437,6.80647913923409e-06,-50.053543041101,111343044.563615,0.377630840822152,-53.4093578758526
"140","HERR4TSP",2769.83489801539,1.18607533723656e-05,-14.4730171268455,3307.30440255572,2.74340800093159e-05,-15.0815313695798
"141","HERRCC",28250.4039727555,3.72026497742308e-05,-36.8589550063532,185176757.982626,0.78046990600726,-46.9564975580913
"142","HERRIsum",5226.34972150646,3.79366945209279e-06,-23.5478925593816,219988511.392595,0.493264440286157,-23.4248955118853
"143","HERRNIRS",16965.8028945086,1.9283631360364e-05,-65.5202272047464,18474.9984251057,3.1001129568983e-05,-65.7581274858909
"144","HERRNORSS",10899.7567093669,2.96358854218e-07,-11.3209756431632,17022686958193.3,1396.37401010023,-10.2245160557972
"145","HERRNS.IIIa.VIId",54339.2080436227,4.15934004739978e-07,-104.125422322458,75541.2047245321,1.29209648609654e-06,-109.084239955538
