stock_name,regime_length
PERCHEBSAI,8
PERCHEBSAI,25
PERCHEBSAI,7
PERCHQCI,9
PERCHQCI,6
PERCHQCI,15
PERCHQCI,6
PERCHQCI,10
PERCHQCI,11
PERCHQCI,8
PERCHWCVANI,15
PERCHWCVANI,14
PLAIC2123,10
PLAIC2123,10
PLAICECHW,17
PLAICECHW,9
PLAICECHW,12
PLAICNS,6
PLAICNS,10
PLAICNS,8
PLAICNS,7
PLAICNS,18
PLAICNS,7
PLAICNS,6
POLL5YZ,6
POLL5YZ,15
POLL5YZ,11
POLL5YZ,8
POLL5YZ,6
POLLIEG,7
POLLIEG,9
POLLIEG,21
POLLNEAR,19
POLLNEAR,9
POLLNEAR,29
POLLNS.VI.IIIa,7
POLLNS.VI.IIIa,10
POLLNS.VI.IIIa,21
POLLNS.VI.IIIa,12
POPERCHPCOAST,11
POPERCHPCOAST,8
POPERCHPCOAST,13
POPERCHPCOAST,6
POPERCHPCOAST,10
PSALMCHIGNIKWD,7
PSALMCHIGNIKWD,6
PSALMCHIGNIKWD,6
PSALMCHIGNIKWD,8
PSALMCHIGNIKWD,7
PSALMESAKPH,12
PSALMESAKPH,8
PSALMESAKPH,11
PSALMPWSED,10
PSALMPWSED,9
PSALMPWSED,11
PSALMTUTKASD,9
PSALMTUTKASD,7
PSALMTUTKASD,15
PSALMTUTKASD,6
PTOOTHFISHMI,18
PTOOTHFISHMI,10
PTOOTHFISHPEI,10
PTOOTHFISHPEI,16
RBRMSETOW,9
RBRMSETOW,9
RBRMSETOW,10
RBRMSETOW,8
REYEROCKGA,7
REYEROCKGA,6
REYEROCKGA,13
RGROUPGM,14
RGROUPGM,7
RGROUPSATL,9
RGROUPSATL,14
RGROUPSATL,6
RGROUPSATL,10
RKCRABBB,9
RKCRABBB,27
RKCRABBB,7
RROCKLOBSTERSAUSNZ,11
RROCKLOBSTERSAUSNZ,15
RROCKLOBSTERSAUSNZ,10
RSFLOUNSOJ,15
RSFLOUNSOJ,6
RSNAPGM,13
RSNAPGM,6
RSNAPGM,9
RSNAPGM,6
RSNAPGM,13
RSNAPSATLC,10
RSNAPSATLC,6
RSNAPSATLC,11
RSQLOBSTERCSCH,10
RSQLOBSTERCSCH,17
RSQLOBSTERCSCH,7
RSQLOBSTERCSCH,6
RSQLOBSTERCSCH,7
RSROCKBCWN,20
RSROCKBCWN,6
RSROCKBCWS,6
RSROCKBCWS,8
RSROCKBCWS,15
RSROCKBCWS,8
RSROCKBCWS,7
RSROCKBCWS,11
SABLEFEBSAIGA,10
SABLEFEBSAIGA,7
SABLEFEBSAIGA,6
SABLEFEBSAIGA,18
SABLEFEBSAIGA,10
SABLEFEBSAIGA,6
SABLEFPCAN,13
SABLEFPCAN,6
SABLEFPCAN,15
SABLEFPCAN,12
SARDSAW,12
SARDSAW,7
SARDSAW,10
SARDSAW,6
SARDWSE,7
SARDWSE,19
SBELLYROCKPCOAST,17
SBELLYROCKPCOAST,14
SBWHITACIR,10
SBWHITACIR,22
SBWHITARGS,6
SBWHITARGS,9
SBWHITARGS,6
SBWHITARGS,10
SCMPBP,6
SCMPBP,16
SCMPMB,11
SCMPMB,6
SCMPMB,8
SCMPWHB,9
SCMPWHB,6
SCMPWHB,12
SEELNSSA3,11
SEELNSSA3,13
SEELNSSA3,10
SEELNSSA4,8
SEELNSSA4,19
SKJCWPAC,10
SKJCWPAC,22
SKJCWPAC,12
SNOWCRABBS,12
SNOWCRABBS,8
SNOWCRABBS,15
SOLECS,26
SOLECS,22
SOLEIIIa.2224,8
SOLEIIIa.2224,15
SOLEIIIa.2224,6
SOLEIIIa.2224,6
SOLEVIId,7
SOLEVIId,22
SOLEVIId,7
SOLEVIIh.k,8
SOLEVIIh.k,10
SOLEVIIh.k,6
SOUTHHAKECH,6
SOUTHHAKECH,10
SOUTHHAKECH,9
SOUTHHAKECH,6
SOUTHHAKECH,6
SOUTHHAKECH,6
SOUTHHAKEWCSI,25
SOUTHHAKEWCSI,6
SOUTHHAKEWCSI,7
SPANMACKGM,14
SPANMACKGM,7
SPANMACKGM,6
SSALMBIRKENH,9
SSALMBIRKENH,6
SSALMBIRKENH,19
SSALMBIRKENH,8
SSALMBIRKENH,7
SSALMEALSEKDR,6
SSALMEALSEKDR,13
SSALMEALSEKDR,7
SSALMIGUSHIK,17
SSALMIGUSHIK,6
SSALMIGUSHIK,6
SSALMIGUSHIK,7
SSALMIGUSHIK,7
SSALMKLUKSHUR,15
SSALMKLUKSHUR,6
SSALMLWASH,18
SSALMLWASH,9
SSALMNAHANTLATCH,6
SSALMNAHANTLATCH,7
SSALMNAHANTLATCH,8
SSALMNASS,19
SSALMNASS,6
SSTHORNHPCOAST,7
SSTHORNHPCOAST,11
SSTHORNHPCOAST,12
SSTHORNHPCOAST,9
STMARLINNEPAC,7
STMARLINNEPAC,15
STMARLINNEPAC,11
STMARLINWCNPAC,19
STMARLINWCNPAC,10
STMARLINWCNPAC,7
SWHITSE,12
SWHITSE,25
TURIV,20
TURIV,6
TURIV,12
VSNAPSATLC,7
VSNAPSATLC,26
VSNAPSATLC,8
WANGLVIIIc.IXa,16
WANGLVIIIc.IXa,9
WANGLVIIIc.IXa,9
WANGLVIIIc.IXa,6
WANGLVII.VIIIabd,14
WANGLVII.VIIIabd,20
WHAKE4T,12
WHAKE4T,7
WHAKE4T,6
WHAKE4T,9
WHITNS.VIId,9
WHITNS.VIId,6
WHITNS.VIId,7
WHITNS.VIId,18
WINFLOUN5Z,6
WINFLOUN5Z,6
WINFLOUN5Z,6
WINFLOUN5Z,10
WINFLOUN5Z,6
WPOLLGA,20
WPOLLGA,22
WPOLLGA,6
WROCKBCW,11
WROCKBCW,9
WROCKBCW,7
WROCKBCW,19
WROCKPCOAST,8
WROCKPCOAST,15
WROCKPCOAST,12
WROCKPCOAST,12
YEGROUPGM,10
YEGROUPGM,16
YEGROUPGM,9
YELLCCODGOM,6
YELLCCODGOM,11
YELLCCODGOM,8
YELLCCODGOM,6
YELLGB,9
YELLGB,14
YELLGB,6
YELLGB,6
YFINEIO,6
YFINEIO,8
YFINEIO,9
YFINEIO,8
YFINEIO,9
YSOLEBSAI,13
YSOLEBSAI,10
YSOLEBSAI,41
YTROCKNPCOAST,23
YTROCKNPCOAST,19
YTROCKNPCOAST,10
YTROCKNPCOAST,6
ACADREDGOMGB,9
ACADREDGOMGB,6
ACADREDGOMGB,16
ACADREDGOMGB,9
AMPL4T,14
AMPL4T,16
AMPL4T,6
ANCHMEDGSA29,6
ANCHMEDGSA29,8
ANCHMEDGSA29,13
ANCHOBAYB,6
ANCHOBAYB,8
ANCHOBAYB,8
ANCHOBAYB,11
ANCHOSA,14
ANCHOSA,11
ANCHOSA,10
APOLLNSJ,13
APOLLNSJ,8
APOLLNSJ,11
BMACKECS,8
BMACKECS,19
BOCACCSPCOAST,15
BOCACCSPCOAST,13
BOCACCSPCOAST,6
BOCACCSPCOAST,9
BOCACCSPCOAST,6
BOCACCSPCOAST,8
BRNSHRIMPGM,8
BRNSHRIMPGM,6
BRNSHRIMPGM,8
BRNSHRIMPGM,6
BRNSHRIMPGM,6
BSBASSSATL,12
BSBASSSATL,6
BSBASSSATL,7
BSBASSSATL,7
BSBASSSATL,6
BUTTERGOMCHATT,15
BUTTERGOMCHATT,13
CAPENOR,12
CAPENOR,23
CHSQUIDSA,6
CHSQUIDSA,6
CHSQUIDSA,30
CHTRACCH,6
CHTRACCH,26
CHTRACCH,13
CMACKPCOAST,14
CMACKPCOAST,14
CMACKPCOAST,6
CMACKPJPN,9
CMACKPJPN,6
CMACKPJPN,28
CMACKPJPN,6
CMACKTSST,7
CMACKTSST,12
CMACKTSST,6
CMACKTSST,21
COD2J3KL,8
COD2J3KL,6
COD2J3KL,10
COD2J3KL,9
COD3M,7
COD3M,9
COD3M,7
COD3Pn4RS,9
COD3Pn4RS,6
COD3Pn4RS,9
COD3Pn4RS,6
COD3Pn4RS,13
CODBA2532,11
CODBA2532,6
CODBA2532,13
CODBA2532,6
CODBA2532,23
CODBA2532,6
CODBA2532,9
CODGB,6
CODGB,8
CODGB,9
CODGB,9
CODVIIek,7
CODVIIek,23
CODVIIek,10
CODVIIek,8
CSALMISCFPM,13
CSALMISCFPM,25
CSALMNSR,9
CSALMNSR,17
CSALMSSR,10
CSALMSSR,16
DOYSFS,6
DOYSFS,9
DOYSFS,6
DOYSFS,11
ESOLEPCOAST,9
ESOLEPCOAST,6
